Timestamp;Time;Longitude;Latitude;Altitude;Accuracy;Speed (m/s);Speed (km/h);Speed (mph);Speed (kts);
0.0;10:06:13;145.08240273222327;-37.88502006791532;73.5999755859375;10.0;0.0;0.0;0.0;0.0;
1.0;10:06:14;145.08240273222327;-37.88502006791532;73.5999755859375;10.0;0.0;0.0;0.0;0.0;
2.0;10:06:15;145.0824080966413;-37.88499626331031;70.29998779296875;10.0;1.0008;3.60288;2.2387295;1.9453951;
3.0000002;10:06:16;145.0824144668877;-37.88499039597809;69.70001220703125;10.0;0.8757;3.15252;1.9588883;1.7022207;
4.0;10:06:17;145.08241765201092;-37.884983690455556;69.0999755859375;10.0;0.37530002;1.3510801;0.8395236;0.7295232;
5.0;10:06:18;145.0824173167348;-37.88497912231833;68.5999755859375;10.0;0.37530002;1.3510801;0.8395236;0.7295232;
6.0000005;10:06:19;145.08241035975516;-37.88497053086758;68.20001220703125;10.0;0.93825;3.3776999;2.0988088;1.823808;
7.0000005;10:06:20;145.0824110303074;-37.88496684283018;67.70001220703125;10.0;0.6255;2.2518;1.3992059;1.2158719;
8.0;10:06:21;145.0824085995555;-37.884961226955056;67.20001220703125;10.0;0.93825;3.3776999;2.0988088;1.823808;
9.0;10:06:22;145.08240348659456;-37.884957999922335;67.0999755859375;10.0;0.56295;2.02662;1.2592853;1.0942848;
10.0;10:06:23;145.08239418268204;-37.88495913147926;67.0999755859375;10.0;0.8757;3.15252;1.9588883;1.7022207;
11.000001;10:06:24;145.0823798496276;-37.88495515007526;67.0999755859375;10.0;1.06335;3.8280597;2.37865;2.0669823;
12.000001;10:06:25;145.08237130008638;-37.88495276123285;67.20001220703125;10.0;0.31275;1.1259;0.69960296;0.60793597;
13.000001;10:06:26;145.08236962370574;-37.884954353794456;67.0;10.0;0.37530002;1.3510801;0.8395236;0.7295232;
14.000001;10:06:27;145.08238135837018;-37.884938260540366;64.9000244140625;10.0;1.3761;4.9539595;3.0782528;2.6749182;
15.000001;10:06:28;145.08238831534982;-37.8849219577387;64.5;10.0;1.6888499;6.0798597;3.7778559;3.282854;
16.0;10:06:29;145.08239208720624;-37.88490904960781;64.4000244140625;10.0;0.93825;3.3776999;2.0988088;1.823808;
17.0;10:06:30;145.08240181021392;-37.88489530328661;64.0999755859375;10.0;1.3761;4.9539595;3.0782528;2.6749182;
18.0;10:06:31;145.08240373805165;-37.88488226942718;64.0;10.0;1.5012001;5.4043202;3.3580945;2.9180927;
19.0;10:06:32;145.0824149698019;-37.884873216971755;63.9000244140625;10.0;1.3761;4.9539595;3.0782528;2.6749182;
20.0;10:06:33;145.08242636919022;-37.88486852310598;63.79998779296875;15.0;1.1259;4.05324;2.5185707;2.1885695;
21.000002;10:06:34;145.082439025864;-37.884867643006146;63.79998779296875;15.0;1.18845;4.27842;2.6584911;2.3101566;
22.000002;10:06:35;145.08244581520557;-37.884858129546046;63.79998779296875;15.0;1.31355;4.72878;2.9383323;2.5533311;
23.000002;10:06:36;145.08245687931776;-37.884845808148384;63.79998779296875;15.0;1.56375;5.6295;3.498015;3.03968;
24.000002;10:06:37;145.08246618323028;-37.88483746815473;63.70001220703125;15.0;1.0008;3.60288;2.2387295;1.9453951;
25.000002;10:06:38;145.08247925899923;-37.88482854142785;63.5;15.0;0.75060004;2.7021601;1.6790472;1.4590464;
26.000002;10:06:39;145.08250918239355;-37.88482665549964;63.29998779296875;15.0;1.18845;4.27842;2.6584911;2.3101566;
27.000002;10:06:40;145.0825510919094;-37.88483604323119;63.0999755859375;15.0;1.8139501;6.53022;4.0576973;3.5260286;
28.000002;10:06:41;145.08256936445832;-37.88483331911266;63.0999755859375;15.0;1.5012001;5.4043202;3.3580945;2.9180927;
29.000002;10:06:42;145.0826036464423;-37.88483046926558;63.0;15.0;1.8139501;6.53022;4.0576973;3.5260286;
30.000002;10:06:43;145.08262527175248;-37.884815339930356;62.70001220703125;15.0;1.8139501;6.53022;4.0576973;3.5260286;
31.000002;10:06:44;145.082650417462;-37.88479991722852;62.29998779296875;15.0;1.8765;6.7553997;4.1976175;3.647616;
32.0;10:06:45;145.08267480880022;-37.88478738628328;62.0;15.0;1.7514;6.30504;3.9177766;3.4044414;
33.0;10:06:46;145.0826914049685;-37.88477368187159;61.5999755859375;15.0;1.3761;4.9539595;3.0782528;2.6749182;
34.0;10:06:47;145.0827090907842;-37.8847639169544;61.4000244140625;15.0;1.5012001;5.4043202;3.3580945;2.9180927;
35.0;10:06:48;145.08272669278085;-37.884749374352396;61.20001220703125;15.0;1.93905;6.98058;4.3375382;3.769203;
36.0;10:06:49;145.08273901417851;-37.88473680149764;61.0;15.0;1.8139501;6.53022;4.0576973;3.5260286;
37.0;10:06:50;145.0827611424029;-37.88472678512335;60.70001220703125;15.0;1.7514;6.30504;3.9177766;3.4044414;
38.0;10:06:51;145.0827780738473;-37.88471961859614;60.5;15.0;1.8765;6.7553997;4.1976175;3.647616;
39.0;10:06:52;145.0827945023775;-37.88472158834338;60.70001220703125;15.0;1.6263;5.8546796;3.6379354;3.161267;
40.0;10:06:53;145.08280565030873;-37.884721462614834;60.9000244140625;15.0;1.31355;4.72878;2.9383323;2.5533311;
41.000004;10:06:54;145.08281436748803;-37.88471479900181;61.29998779296875;15.0;1.06335;3.8280597;2.37865;2.0669823;
42.000004;10:06:55;145.08282417431474;-37.88470461498946;61.9000244140625;15.0;1.6263;5.8546796;3.6379354;3.161267;
43.000004;10:06:56;145.08283180184662;-37.884691203944385;62.29998779296875;15.0;1.5012001;5.4043202;3.3580945;2.9180927;
44.000004;10:06:57;145.08283959701657;-37.88467791862786;62.79998779296875;15.0;1.43865;5.17914;3.2181737;2.7965055;
45.000004;10:06:58;145.08285334333777;-37.88466936908662;62.9000244140625;15.0;1.5012001;5.4043202;3.3580945;2.9180927;
46.000004;10:06:59;145.08287027478218;-37.884660358540714;62.79998779296875;15.0;1.7514;6.30504;3.9177766;3.4044414;
47.000004;10:07:00;145.08289433084428;-37.88464979734272;62.20001220703125;15.0;2.1267;7.6561193;4.7573;4.1339645;
48.000004;10:07:01;145.08291679434478;-37.88464120589197;62.0;10.0;2.0016;7.20576;4.477459;3.8907902;
49.000004;10:07:02;145.0829329714179;-37.88462222088128;61.79998779296875;10.0;2.1267;7.6561193;4.7573;4.1339645;
50.000004;10:07:03;145.08295057341456;-37.88460361305624;61.70001220703125;15.0;2.1267;7.6561193;4.7573;4.1339645;
51.000004;10:07:04;145.0829739589244;-37.884607343003154;60.79998779296875;15.0;2.06415;7.43094;4.6173797;4.0123777;
52.000004;10:07:05;145.08299784734845;-37.88459694944322;60.5;15.0;2.1267;7.6561193;4.7573;4.1339645;
53.000004;10:07:06;145.083017796278;-37.884582239203155;60.4000244140625;10.0;2.5645502;9.23238;5.7367444;4.9850755;
54.000004;10:07:07;145.0830296985805;-37.88457406684756;60.5;10.0;1.7514;6.30504;3.9177766;3.4044414;
55.000004;10:07:08;145.08303137496114;-37.884560991078615;60.4000244140625;10.0;1.6888499;6.0798597;3.7778559;3.282854;
56.000004;10:07:09;145.08303087204695;-37.88455399218947;60.0999755859375;10.0;1.251;4.5036;2.7984118;2.4317439;
57.000004;10:07:10;145.08303715847433;-37.8845453588292;60.5;10.0;1.3761;4.9539595;3.0782528;2.6749182;
58.000004;10:07:11;145.08304428309202;-37.88453890476376;60.70001220703125;10.0;1.06335;3.8280597;2.37865;2.0669823;
59.000004;10:07:12;145.0830558501184;-37.88453261833638;60.9000244140625;10.0;1.43865;5.17914;3.2181737;2.7965055;
60.000004;10:07:13;145.0830645672977;-37.88452775683254;60.9000244140625;10.0;1.3761;4.9539595;3.0782528;2.6749182;
61.000004;10:07:14;145.08307160809636;-37.88452159613371;60.70001220703125;10.0;1.251;4.5036;2.7984118;2.4317439;
62.000004;10:07:15;145.08308191783726;-37.8845194587484;60.5999755859375;10.0;1.251;4.5036;2.7984118;2.4317439;
63.000004;10:07:16;145.08309465833008;-37.88451862055808;60.4000244140625;10.0;0.93825;3.3776999;2.0988088;1.823808;
64.0;10:07:17;145.0831060577184;-37.8845168184489;60.0999755859375;10.0;1.06335;3.8280597;2.37865;2.0669823;
65.0;10:07:18;145.08311519399285;-37.88450692780316;60.0999755859375;10.0;1.3761;4.9539595;3.0782528;2.6749182;
66.0;10:07:19;145.0831282697618;-37.884497246704996;59.9000244140625;10.0;1.3761;4.9539595;3.0782528;2.6749182;
67.0;10:07:20;145.0831436086446;-37.88448899053037;59.9000244140625;10.0;1.6888499;6.0798597;3.7778559;3.282854;
68.0;10:07:21;145.0831594504416;-37.884481153450906;59.79998779296875;10.0;1.6888499;6.0798597;3.7778559;3.282854;
69.0;10:07:22;145.083165820688;-37.88447566330433;58.79998779296875;10.0;0.68805;2.4769797;1.5391264;1.3374591;
70.0;10:07:23;145.08317093364894;-37.88446987979114;58.5999755859375;10.0;0.8757;3.15252;1.9588883;1.7022207;
71.0;10:07:24;145.08318132720888;-37.88446656893939;58.5;10.0;0.8757;3.15252;1.9588883;1.7022207;
72.0;10:07:25;145.08318870328367;-37.88445743266493;58.29998779296875;10.0;0.93825;3.3776999;2.0988088;1.823808;
73.0;10:07:26;145.08319951593876;-37.88444620091468;58.0;10.0;1.18845;4.27842;2.6584911;2.3101566;
74.0;10:07:27;145.08321326225996;-37.88443710654974;57.9000244140625;10.0;1.1259;4.05324;2.5185707;2.1885695;
75.0;10:07:28;145.0832260865718;-37.884426629170775;57.79998779296875;10.0;1.6263;5.8546796;3.6379354;3.161267;
76.0;10:07:29;145.08323463611305;-37.88441112264991;57.70001220703125;10.0;1.8139501;6.53022;4.0576973;3.5260286;
77.0;10:07:30;145.08323438465595;-37.884399723261595;57.5999755859375;10.0;1.251;4.5036;2.7984118;2.4317439;
78.0;10:07:31;145.08322373963892;-37.88439012598246;57.5999755859375;10.0;1.0008;3.60288;2.2387295;1.9453951;
79.0;10:07:32;145.08321963250637;-37.88437449373305;57.70001220703125;10.0;1.06335;3.8280597;2.37865;2.0669823;
80.0;10:07:33;145.0832151900977;-37.884363303892314;57.5999755859375;10.0;1.06335;3.8280597;2.37865;2.0669823;
81.00001;10:07:34;145.08321091532707;-37.88435265887529;57.5;10.0;1.06335;3.8280597;2.37865;2.0669823;
82.00001;10:07:35;145.0832064729184;-37.884342265315354;57.5;10.0;1.1259;4.05324;2.5185707;2.1885695;
83.00001;10:07:36;145.08320295251906;-37.884329818189144;57.29998779296875;10.0;1.251;4.5036;2.7984118;2.4317439;
84.00001;10:07:37;145.08320001885295;-37.88431896362454;57.20001220703125;10.0;1.18845;4.27842;2.6584911;2.3101566;
