unit -> SI (m/s^2) 
Timestamp;x-axis;y-axis;z-axis
0.001172;-0.11450434;0.66298485;0.4561348;
0.011247;-0.19086754;0.7680664;0.20459461;
0.021391999;-0.2629528;0.8182225;-0.004840851;
0.031439;-0.25127292;0.87531805;-0.094839096;
0.041748;-0.1572758;0.7914624;-0.24384308;
0.051638998;-0.07800126;0.7839494;-0.3157053;
0.062156998;5.506277E-4;0.79870796;-0.20156956;
0.073078;0.10684943;0.8061485;-0.13142681;
0.082716994;0.14737928;0.77795506;-0.0633955;
0.092783;0.15296006;0.71333075;0.11275196;
0.102842994;0.0686332;0.6361923;0.23520851;
0.1129;-0.083826184;0.5795927;0.21136093;
0.122981;-0.14121091;0.55140066;0.112068176;
0.13299;-0.2375238;0.5825491;0.11297798;
0.14290099;-0.28947437;0.5968003;0.061872482;
0.15522099;-0.23005724;0.60776377;-0.0010824203;
0.164939;-0.12018418;0.61442184;-0.06585026;
0.174935;-0.03930688;0.6361556;-0.13167;
0.18482;0.010572195;0.63132954;-0.22589874;
0.19488499;0.05823779;0.64173603;-0.45761013;
0.204957;0.05286002;0.68450165;-0.48713112;
0.21539399;0.07526541;0.73345613;-0.39689732;
0.226494;0.0937376;0.7726693;-0.20048046;
0.23667699;0.14396954;0.7549052;-0.16849232;
0.246971;0.2503183;0.75491;-0.12127781;
0.256988;0.40317047;0.7046919;-0.16687965;
0.267077;0.5245844;0.7029743;-0.26511288;
0.27744198;0.48313427;0.6988621;-0.38925838;
0.28928;0.42773438;0.75257826;-0.41268253;
0.299155;0.42379308;0.7959871;-0.31245232;
0.30929598;0.4242108;0.7913251;-0.26864433;
0.31930798;0.42597485;0.8025346;-0.2799778;
0.32940498;0.4384048;0.8012886;-0.3061161;
0.33947;0.49773157;0.8278365;-0.23892689;
0.34956196;0.5190952;0.9195194;-0.023025513;
0.35971698;0.56884944;0.9260864;0.055394173;
0.369779;0.6367279;0.92615247;0.121227264;
0.379875;0.70218897;0.86707544;0.18887043;
0.39008996;0.6100743;0.80859447;0.0671072;
0.400175;0.50083196;0.8080456;0.041529655;
0.410342;0.38813603;0.82774067;0.028924942;
0.420878;0.28251565;0.7878654;0.06863117;
0.43094596;0.31676042;0.78362536;0.17366695;
0.44158;0.30961;0.9232688;0.2637434;
0.45227298;0.25238395;1.0207126;0.3230772;
0.462798;0.15789425;0.917083;0.4347477;
0.4725;-0.028761744;0.78506637;0.43619728;
0.48302597;-0.2900399;0.7777028;0.52024746;
0.492672;-0.4510163;0.87553287;0.52531815;
0.502692;-0.70550704;0.90130377;0.54901695;
0.512761;-0.8894794;0.8841629;0.49801445;
0.522829;-1.0739394;0.99829984;0.53341484;
0.534902;-1.210738;1.2154725;0.67860603;
0.54445297;-1.3206198;1.2997823;0.726634;
0.55459;-1.4124627;1.078337;0.5406294;
0.564664;-1.427767;1.0349057;0.20360088;
0.574758;-1.400073;1.0026422;-0.17739487;
0.585313;-1.385231;1.1262891;-0.42094803;
0.595715;-1.498607;1.3470743;-0.4437256;
0.605289;-1.7521912;1.4277728;-0.2796688;
0.615259;-2.045339;1.4432256;-0.09486103;
0.62525797;-2.2805662;1.3880963;0.07239246;
0.635377;-2.21386;1.3031614;0.23616219;
0.645431;-2.0882154;1.1357319;0.099473;
0.6554949;-1.9093171;0.8084142;-0.41750526;
0.665589;-1.9386373;0.3207146;-0.8500719;
0.675805;-1.8909576;-0.353768;-0.8675642;
0.68583196;-1.524185;-0.9609;-0.51748085;
