unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
0.001172;306.71875;-28.9375;-11.171875;
0.011247;306.625;-30.15625;-11.71875;
0.021391999;306.42188;-31.03125;-12.265625;
0.031439;306.14063;-31.625;-12.265625;
0.041748;305.875;-31.71875;-11.921875;
0.051638998;305.59375;-31.921875;-11.546875;
0.062156998;305.39063;-31.625;-10.953125;
0.073078;305.23438;-31.390625;-10.296875;
0.082716994;305.17188;-30.90625;-10.015625;
0.092783;305.21875;-29.921875;-9.890625;
0.102842994;305.32813;-28.953125;-10.375;
0.1129;305.46875;-28.53125;-11.3125;
0.122981;305.60938;-28.53125;-11.8125;
0.13299;305.73438;-28.59375;-12.375;
0.14290099;305.82813;-28.75;-12.8125;
0.15522099;305.92188;-28.9375;-12.8125;
0.164939;306.03125;-29.171875;-12.4375;
0.174935;306.17188;-29.453125;-12.171875;
0.18482;306.3125;-29.671875;-12.140625;
0.19488499;306.375;-30.359375;-12.234375;
0.204957;306.40625;-30.546875;-12.40625;
0.21539399;306.48438;-30.40625;-12.296875;
0.226494;306.65625;-29.90625;-12.0625;
0.23667699;306.89063;-29.609375;-11.796875;
0.246971;307.20313;-29.453125;-11.140625;
0.256988;307.59375;-29.421875;-10.296875;
0.267077;307.95313;-29.75;-9.609375;
0.27744198;308.21875;-30.09375;-9.859375;
0.28928;308.4375;-30.328125;-10.09375;
0.299155;308.70313;-30.140625;-9.984375;
0.30929598;309.01563;-29.828125;-9.953125;
0.31930798;309.35938;-29.78125;-9.953125;
0.32940498;309.70313;-29.671875;-9.890625;
0.33947;310.10938;-29.484375;-9.4375;
0.34956196;313.71875;-29.21875;-8.984375;
0.35971698;314.04688;-28.9375;-8.484375;
0.369779;314.4375;-28.6875;-7.828125;
0.379875;318.34375;-28.171875;-7.1875;
0.39008996;318.53125;-28.109375;-7.578125;
0.400175;318.67188;-28.046875;-8.0625;
0.410342;318.75;-27.984375;-8.59375;
0.420878;318.8125;-27.484375;-9.109375;
0.43094596;318.96875;-26.96875;-8.796875;
0.44158;319.125;-27.015625;-8.671875;
0.45227298;319.25;-26.8125;-8.90625;
0.462798;319.40625;-25.65625;-9.390625;
0.4725;319.5625;-24.578125;-10.375;
0.48302597;319.65625;-23.96875;-11.515625;
0.492672;319.65625;-24.1875;-12.03125;
0.502692;319.54688;-24.0625;-12.984375;
0.512761;319.375;-24.03125;-13.671875;
0.522829;319.09375;-24.453125;-14.25;
0.534902;318.73438;-25.109375;-14.515625;
0.54445297;318.34375;-25.234375;-14.9375;
0.55459;318.0;-24.3125;-15.921875;
0.564664;317.57813;-24.484375;-16.765625;
0.574758;313.53125;-24.78125;-17.515625;
0.585313;313.17188;-25.21875;-17.890625;
0.595715;312.78125;-25.421875;-18.0625;
0.605289;312.42188;-24.703125;-18.53125;
0.615259;312.14063;-23.609375;-18.921875;
0.62525797;311.96875;-22.265625;-18.890625;
0.635377;311.95313;-20.890625;-17.25;
0.645431;312.07813;-19.5;-15.65625;
0.6554949;312.375;-17.671875;-14.078125;
0.665589;316.73438;-14.15625;-13.296875;
