unit -> micro-Tesla (uT) and measure the ambient magnetic field in the X, Y and Z axis 
Timestamp;x-axis;y-axis;z-axis
0.001172;12.48;38.04;35.7;
0.011247;12.78;37.92;35.76;
0.021391999;13.0199995;37.98;35.7;
0.031439;13.08;37.8;35.88;
0.041748;13.08;37.739998;35.88;
0.051638998;13.2;37.62;35.94;
0.062156998;13.259999;37.68;36.059998;
0.073078;13.139999;37.559998;36.18;
0.082716994;13.0199995;37.559998;36.239998;
0.092783;13.0199995;37.559998;36.3;
0.102842994;12.78;37.62;36.54;
0.1129;12.36;37.68;36.48;
0.122981;11.94;37.739998;36.48;
0.13299;11.46;37.8;36.6;
0.14290099;11.219999;37.86;36.6;
0.15522099;10.92;37.98;36.78;
0.164939;10.559999;37.86;36.719997;
0.174935;10.08;37.92;36.48;
0.18482;9.78;37.92;36.6;
0.19488499;9.66;37.92;36.48;
0.204957;9.48;37.98;36.6;
0.21539399;9.24;37.98;36.66;
0.226494;9.0;37.98;36.6;
0.23667699;8.76;38.1;36.6;
0.246971;8.4;38.04;36.6;
0.256988;8.16;37.98;36.6;
0.267077;8.22;37.739998;36.54;
0.27744198;8.16;37.68;36.54;
0.28928;8.22;37.8;36.54;
0.299155;8.04;37.8;36.42;
0.30929598;7.7999997;37.86;36.36;
0.31930798;7.68;37.92;36.12;
0.32940498;7.62;37.98;36.18;
0.33947;7.5;38.04;36.18;
0.34956196;7.3799996;37.86;36.059998;
0.35971698;7.2;37.86;35.94;
0.369779;7.14;37.739998;36.0;
0.379875;7.02;37.62;36.059998;
0.39008996;7.02;37.38;36.0;
0.400175;7.08;37.38;35.88;
0.410342;7.14;37.38;35.88;
0.420878;7.14;37.26;35.94;
0.43094596;7.02;37.32;35.94;
0.44158;6.96;37.38;36.12;
0.45227298;6.8399997;37.2;36.3;
0.462798;6.8399997;37.02;36.3;
0.4725;6.8399997;36.96;36.3;
0.48302597;6.7799997;36.84;36.36;
0.492672;6.7799997;36.66;36.48;
0.502692;6.96;36.42;36.66;
0.512761;7.02;36.3;36.84;
0.522829;7.2;36.239998;37.079998;
0.534902;7.2;36.059998;37.02;
0.54445297;7.3199997;36.059998;37.079998;
0.55459;7.3199997;36.12;37.26;
0.564664;7.2599998;35.88;37.38;
0.574758;7.44;35.7;37.5;
0.585313;7.68;35.7;37.739998;
0.595715;7.74;35.46;37.8;
0.605289;7.9199996;35.219997;37.8;
0.615259;8.16;35.04;37.739998;
0.62525797;8.4;34.86;37.86;
0.635377;8.88;34.62;37.92;
0.645431;9.24;34.32;38.04;
0.6554949;9.54;34.079998;38.16;
0.665589;9.599999;33.899998;38.34;
0.675805;9.84;33.66;38.64;
0.68583196;10.08;33.3;38.879997;
0.69587;10.44;32.94;39.239998;
0.705974;10.679999;32.46;39.54;
0.71690595;11.28;31.859999;39.78;
0.726574;12.0;31.14;40.2;
0.736698;12.66;30.48;40.5;
0.74677795;13.32;29.699999;40.739998;
0.756907;13.98;28.92;41.1;
0.768618;14.5199995;28.32;41.46;
0.778192;15.179999;27.599998;41.76;
0.791196;16.02;26.82;42.239998;
0.80110896;16.619999;25.98;42.719997;
0.811278;17.22;25.26;43.2;
0.821356;17.82;24.42;43.44;
0.83169496;18.6;23.699999;43.8;
0.841764;19.38;22.859999;44.04;
0.85214895;19.859999;22.199999;44.28;
0.86344296;20.4;21.6;44.46;
0.87294894;21.06;20.939999;44.579998;
0.88339996;21.24;20.46;44.76;
0.892985;21.539999;20.16;44.76;
0.90304494;21.66;19.92;44.82;
0.913041;21.48;19.74;44.879997;
0.92311496;21.3;19.68;44.879997;
0.933234;21.3;19.38;44.879997;
0.94345397;21.24;19.199999;45.239998;
0.96007895;20.939999;18.96;45.3;
0.969662;20.699999;18.9;45.36;
0.9798629;20.34;18.9;45.3;
0.99003595;20.1;19.08;45.42;
1.0008299;20.1;19.26;45.18;
1.01085;19.92;19.439999;45.059998;
1.022092;19.56;19.56;44.76;
1.031457;19.38;19.859999;44.7;
1.041491;19.26;20.279999;44.46;
1.05152;19.08;20.699999;44.28;
1.06159;18.84;21.06;44.219997;
1.071707;18.66;21.359999;44.04;
1.082184;18.84;21.539999;43.8;
1.0921799;19.199999;21.779999;43.68;
1.102214;19.38;22.08;43.5;
1.1126969;19.5;22.5;43.2;
1.123276;19.68;22.92;42.899998;
1.13272;19.859999;23.279999;42.719997;
1.142699;20.16;23.46;42.36;
1.152705;20.279999;23.699999;42.18;
1.163255;20.22;23.82;42.0;
1.172902;20.16;24.06;41.82;
1.182959;20.46;24.3;41.76;
1.193078;20.58;24.48;41.46;
1.203188;20.58;24.359999;41.34;
1.213231;20.76;24.24;41.1;
1.223295;20.939999;24.3;40.86;
1.233364;21.119999;24.24;40.8;
1.2434639;21.18;24.3;40.86;
1.253697;21.3;24.359999;40.5;
1.263736;21.359999;24.359999;40.379997;
1.273817;21.539999;24.24;40.32;
1.283888;21.72;24.24;40.079998;
1.295873;21.84;24.18;39.96;
1.306024;22.02;24.3;39.719997;
1.3153639;22.5;24.24;39.48;
1.325691;22.68;24.3;39.36;
1.335746;22.92;24.42;39.12;
1.345851;22.98;24.359999;38.82;
1.356119;23.1;24.359999;38.579998;
1.366396;23.279999;24.48;38.34;
1.376445;23.46;24.66;38.16;
1.386482;23.64;24.84;37.86;
1.3965849;23.82;25.08;37.44;
1.4067249;24.24;25.32;36.899998;
1.416765;24.48;25.5;36.78;
1.426826;24.6;25.8;36.36;
1.4368939;24.72;26.099998;35.82;
1.4469709;24.779999;26.4;35.64;
1.457904;24.96;26.64;35.28;
1.4684238;25.08;27.06;35.1;
1.477872;24.84;27.42;34.739998;
1.4878159;24.779999;27.72;34.44;
1.497975;24.84;27.9;34.02;
1.508009;24.96;28.26;33.78;
1.518082;24.84;28.56;33.66;
1.528178;24.72;28.98;33.36;
1.538302;24.84;29.22;33.239998;
1.5484049;24.779999;29.4;33.18;
1.558498;24.539999;29.58;33.18;
1.568553;24.18;29.519999;33.239998;
1.578638;23.939999;29.699999;33.239998;
1.5896729;23.82;29.82;33.36;
1.599391;23.76;29.88;33.3;
1.612269;23.4;29.939999;33.239998;
1.6217629;23.34;30.0;33.239998;
1.6322709;22.98;29.76;33.3;
1.642189;22.859999;29.699999;33.42;
1.6521369;22.68;29.64;33.54;
1.6623601;22.32;29.64;33.719997;
1.672178;22.08;29.519999;33.899998;
1.682146;21.96;29.519999;34.079998;
1.6922079;21.72;29.519999;34.5;
1.7022969;21.359999;29.46;34.5;
1.713141;21.0;29.519999;34.62;
1.7226279;20.82;29.46;34.739998;
1.732683;20.699999;29.58;34.8;
1.742812;20.46;29.58;34.68;
1.7530069;20.34;29.699999;34.68;
1.76297;20.4;29.88;34.68;
1.7730349;20.64;29.82;34.62;
1.7839179;20.52;30.0;34.559998;
1.7935519;20.82;30.24;34.5;
1.8039069;21.24;30.24;34.44;
1.813517;21.779999;30.359999;34.26;
1.8237079;21.9;30.539999;33.96;
1.8342329;22.38;30.599998;33.66;
1.844374;22.92;30.599998;33.42;
1.855102;23.46;30.48;33.059998;
1.865143;24.119999;30.42;32.94;
1.8752829;24.9;30.24;32.64;
1.8853129;25.68;30.119999;32.52;
1.8954129;26.46;29.88;32.219997;
1.905461;27.359999;29.58;31.98;
1.916219;28.199999;29.4;31.619999;
1.925655;28.8;29.16;31.38;
1.935728;29.64;28.98;31.08;
1.9458429;30.539999;28.68;30.9;
1.956529;31.019999;28.439999;30.779999;
1.966911;31.56;28.14;30.72;
1.9767019;31.92;27.84;30.66;
1.986746;32.76;27.24;30.84;
1.996854;33.059998;26.939999;31.019999;
2.0069158;33.42;26.4;31.019999;
2.016999;33.96;26.039999;30.96;
2.027094;34.14;25.74;30.9;
2.037144;34.559998;25.26;30.9;
2.049486;34.98;24.96;30.84;
2.0590599;35.16;24.66;30.72;
2.0691519;35.52;24.359999;30.66;
2.079195;35.7;23.82;30.66;
2.089255;36.059998;23.279999;30.66;
2.09936;36.36;22.859999;30.599998;
2.1109169;36.42;22.38;30.539999;
2.120816;36.899998;22.02;30.3;
2.130576;37.38;21.6;30.179998;
2.1408;37.8;21.06;29.88;
2.151083;38.28;20.699999;29.519999;
2.161341;38.94;20.22;29.16;
2.171106;39.48;19.74;28.98;
2.181091;39.899998;19.14;28.859999;
2.191093;40.44;18.66;28.5;
2.201387;40.98;18.06;28.26;
2.211267;41.399998;17.46;28.199999;
2.221323;41.82;16.74;28.14;
2.2314181;42.18;16.08;28.199999;
2.2414699;42.6;15.48;28.26;
2.251619;43.02;14.82;28.08;
2.2621818;43.26;14.04;27.9;
2.272971;43.68;13.38;27.72;
2.283433;43.92;12.42;27.599998;
2.293037;44.28;11.639999;27.359999;
2.303066;44.7;10.62;27.119999;
2.313045;45.0;9.719999;26.88;
2.3231528;45.42;8.76;26.519999;
2.33326;45.78;7.7999997;26.16;
2.343319;46.26;6.66;25.56;
2.3534248;46.98;5.46;25.019999;
2.363512;47.579998;4.2599998;24.3;
2.373593;48.18;3.06;23.22;
2.3836648;48.899998;1.8;21.96;
2.39373;49.559998;0.17999999;20.52;
2.403848;50.34;-1.1999999;18.96;
2.41408;50.76;-2.6399999;17.22;
2.427629;51.059998;-4.2;15.24;
2.4373608;51.3;-5.94;13.2;
2.447178;51.3;-7.62;10.8;
2.458411;51.059998;-9.599999;8.22;
2.468461;50.82;-11.5199995;5.58;
2.478572;50.46;-13.38;3.06;
2.488781;49.8;-15.599999;0.53999996;
2.498751;49.02;-17.82;-1.9799999;
2.5088189;47.879997;-19.98;-4.44;
2.51889;46.5;-22.14;-6.66;
2.529057;45.0;-24.18;-8.82;
2.539093;43.379997;-26.4;-10.44;
2.549167;41.64;-28.38;-12.0;
2.559266;39.96;-30.24;-13.2;
2.571174;37.98;-32.219997;-14.34;
2.581151;36.3;-34.2;-15.12;
2.591107;34.92;-35.88;-15.36;
2.602586;33.42;-37.5;-15.66;
2.612201;32.46;-38.82;-15.599999;
2.6229548;31.439999;-39.96;-15.299999;
2.6326778;30.599998;-40.92;-14.7;
2.642727;29.699999;-41.94;-14.34;
2.652767;29.099998;-42.54;-13.92;
2.6628537;28.74;-43.079998;-13.5;
2.6729248;28.56;-43.379997;-12.96;
