unit -> micro-Tesla (uT) and measure the ambient magnetic field in the X, Y and Z axis 
Timestamp;x-axis;y-axis;z-axis
0.007644;3.48;35.28;38.46;
0.016184999;3.54;35.28;38.46;
0.026251;3.6;35.04;38.579998;
0.036319997;3.6599998;34.92;38.7;
0.046949;3.54;34.98;38.879997;
0.057097998;3.54;34.68;38.94;
0.066562;3.48;34.62;39.18;
0.076783;3.12;34.32;39.239998;
0.086801;2.82;34.079998;39.0;
0.096938;2.82;33.899998;39.239998;
0.106911995;3.0;33.78;39.36;
0.11697099;3.54;33.42;39.66;
0.126993;3.6;33.18;39.78;
0.137051;3.6;33.0;39.84;
0.147127;3.72;32.7;39.96;
0.15743999;4.2;32.46;40.14;
0.16803;3.8999999;32.46;40.02;
0.17826399;4.08;32.34;40.14;
0.187539;4.08;32.28;40.14;
0.19760099;4.2599998;32.16;40.079998;
0.207674;4.62;32.04;40.02;
0.217819;4.7999997;31.859999;40.2;
0.22787699;4.98;31.74;40.14;
0.23796898;5.58;31.74;40.2;
0.248211;6.0;31.74;40.62;
0.263135;5.7599998;31.679998;40.26;
0.271382;6.12;31.38;40.14;
0.281476;6.42;31.38;40.2;
0.29209697;6.8999996;31.32;40.26;
0.30211398;7.3199997;31.26;40.26;
0.31227398;7.62;31.38;40.079998;
0.32229298;7.8599997;31.26;39.96;
0.332364;8.46;31.26;40.14;
0.342631;8.46;31.199999;40.14;
0.35272196;8.46;31.199999;39.66;
0.36276898;8.639999;31.08;39.78;
0.37426597;8.58;31.019999;39.66;
0.383942;8.58;31.08;39.54;
0.39286497;8.76;31.08;39.6;
0.403019;8.88;30.96;39.48;
0.41305402;9.179999;30.9;39.239998;
0.423127;9.719999;30.72;39.48;
0.43320498;9.9;30.779999;39.54;
0.443334;9.9;30.72;39.54;
0.45395598;10.0199995;30.66;39.48;
0.464006;10.08;30.539999;39.54;
0.47395;9.84;30.48;39.42;
0.485555;9.96;30.599998;39.54;
0.49486;10.0199995;30.42;39.6;
0.50464;10.32;30.3;39.6;
0.51456195;10.5;30.24;40.02;
0.524588;10.559999;30.3;39.96;
0.534588;10.559999;30.119999;40.02;
0.544585;10.74;30.119999;40.14;
0.55462897;10.86;30.06;40.14;
0.564765;10.679999;30.06;40.14;
0.574882;10.559999;29.88;40.26;
0.584946;10.559999;29.939999;40.26;
0.595109;10.559999;29.939999;40.26;
0.605782;10.559999;29.88;40.44;
0.615955;10.32;29.82;40.379997;
0.62759995;10.139999;29.82;40.26;
0.63605297;10.5;29.699999;40.559998;
0.64620197;10.26;29.46;40.559998;
0.657387;10.2;29.519999;40.32;
0.666343;10.08;29.46;40.2;
0.676459;10.26;29.4;40.32;
0.68653;10.26;29.279999;40.44;
0.69805896;10.32;29.279999;40.44;
0.706726;10.44;29.22;40.44;
0.717598;10.62;29.099998;40.379997;
0.728209;10.92;28.98;40.44;
0.737229;10.679999;29.039999;40.2;
0.74713296;10.8;29.039999;40.2;
0.7572;10.92;29.039999;40.079998;
0.767531;10.8;29.039999;39.6;
0.777491;11.16;29.099998;39.42;
0.78755593;11.5199995;29.039999;39.18;
0.798854;11.88;29.34;38.94;
0.808129;12.3;29.519999;38.7;
0.818201;12.66;29.699999;38.399998;
0.828291;12.96;29.939999;38.1;
0.838734;13.38;30.24;37.5;
0.84889495;13.74;30.66;36.96;
0.85873497;13.799999;30.96;36.239998;
0.868684;13.92;31.56;35.46;
0.878758;14.219999;31.98;35.04;
0.889036;14.099999;32.579998;34.26;
0.89902097;14.4;33.059998;33.84;
0.91159797;14.58;33.54;33.059998;
0.922513;14.82;34.079998;32.52;
0.932593;15.36;34.559998;32.1;
0.94221795;15.299999;35.04;31.5;
0.952384;15.42;35.579998;30.96;
0.96248996;15.24;35.88;30.359999;
0.97254;15.179999;36.18;29.699999;
0.9827399;14.88;36.48;29.279999;
0.99272496;14.58;36.96;28.439999;
1.002839;14.34;37.14;28.019999;
1.012996;13.98;37.26;27.539999;
1.024513;13.92;37.68;27.3;
1.033082;14.099999;37.68;27.119999;
1.0437189;14.099999;37.8;26.64;
1.054202;14.46;37.86;26.34;
1.063303;14.82;37.62;25.92;
1.073388;15.0;37.739998;25.56;
1.0834819;15.179999;37.62;25.199999;
1.0939419;15.42;37.68;24.84;
