unit -> radians/second and measure the Angular speed around the X, Y and Z axis
Timestamp;x-axis;y-axis;z-axis;
0.0;-0.836850;-0.385557;-0.388623;
0.009269999;-0.855947;-0.357773;-0.373300;
0.018575;-0.854214;-0.396414;-0.336414;
0.027916;-0.845487;-0.459327;-0.272344;
0.037207;-0.833726;-0.519880;-0.186082;
0.046572;-0.813215;-0.572134;-0.106506;
0.055885;-0.796709;-0.601066;-0.063049;
0.065152995;-0.789044;-0.611927;-0.054351;
0.074604;-0.791332;-0.607202;-0.071413;
0.083807;-0.790427;-0.604894;-0.096590;
0.093162;-0.783270;-0.615307;-0.088799;
0.102465;-0.754062;-0.655903;-0.034378;
0.11175799;-0.687819;-0.718895;0.100480;
0.121107996;-0.525627;-0.777369;0.345562;
0.130413;-0.243752;-0.760001;0.602482;
0.1397;0.051949;-0.669568;0.740932;
0.14901699;0.259046;-0.575449;0.775728;
0.158487;0.387083;-0.508688;0.769027;
0.16767;0.428888;-0.490275;0.758739;
0.176987;0.409165;-0.522983;0.747712;
0.18625699;0.343215;-0.579343;0.739301;
0.195576;0.234099;-0.677862;0.696922;
0.20486799;0.091821;-0.789236;0.607186;
0.214311;-0.036123;-0.872600;0.487098;
0.223547;-0.183539;-0.907467;0.377911;
0.23284599;-0.335740;-0.899577;0.279356;
0.24215399;-0.450887;-0.867958;0.208204;
0.251695;-0.530001;-0.832289;0.162463;
0.260813;-0.544239;-0.829055;0.128339;
0.27012497;-0.524256;-0.844473;0.109644;
0.279405;-0.501537;-0.860348;0.090899;
0.28873402;-0.465543;-0.880266;0.091657;
0.298038;-0.438536;-0.879363;0.185491;
0.30734497;-0.372133;-0.836461;0.402306;
0.316723;-0.049714;-0.576236;0.815770;
0.325968;0.263838;-0.270393;0.925892;
0.33526;0.363421;-0.186022;0.912864;
0.344732;0.344785;0.061190;0.936685;
0.35393402;0.273181;0.136042;0.952294;
0.363497;0.256607;0.043493;0.965537;
0.372606;0.242671;-0.035364;0.969464;
0.381859;0.200590;-0.108348;0.973666;
0.391185;0.140169;-0.132792;0.981182;
0.40052196;-0.039091;-0.095556;0.994656;
0.40980798;-0.253964;0.026733;0.966844;
0.419127;-0.359859;0.052385;0.931535;
0.428432;-0.472887;0.016803;0.880963;
0.437743;-0.639960;-0.139327;0.755672;
0.44707397;-0.828173;-0.348466;0.438977;
0.456367;-0.888012;-0.451026;0.089503;
0.465872;-0.861904;-0.478259;-0.168492;
0.47500998;-0.833151;-0.440395;-0.334531;
0.484323;-0.818813;-0.390583;-0.420701;
0.49368098;-0.805796;-0.327465;-0.493417;
0.503039;-0.795615;-0.221433;-0.563883;
