unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
0.007644;307.35938;-32.984375;-6.609375;
0.016184999;307.75;-32.984375;-6.609375;
0.026251;308.1875;-31.328125;-7.6875;
0.036319997;308.625;-30.59375;-8.109375;
0.046949;313.26563;-29.421875;-8.21875;
0.057097998;313.625;-29.09375;-7.78125;
0.066562;314.01563;-28.65625;-7.609375;
0.076783;317.92188;-28.140625;-7.46875;
0.086801;318.26563;-27.5;-7.6875;
0.096938;318.59375;-26.375;-8.28125;
0.106911995;318.82813;-25.421875;-9.359375;
0.11697099;318.95313;-24.3125;-10.03125;
0.126993;319.04688;-23.734375;-10.375;
0.137051;319.15625;-23.578125;-10.125;
0.147127;319.14063;-24.0625;-10.15625;
0.15743999;319.03125;-24.640625;-9.421875;
0.16803;318.89063;-25.875;-8.734375;
0.17826399;318.625;-27.203125;-7.96875;
0.187539;318.25;-28.53125;-7.203125;
0.19760099;314.5625;-29.390625;-6.5625;
0.207674;314.35938;-29.25;-6.03125;
0.217819;314.23438;-28.6875;-5.765625;
0.22787699;314.20313;-27.984375;-5.75;
0.23796898;314.14063;-27.265625;-5.96875;
0.248211;314.125;-26.125;-6.25;
0.263135;314.25;-25.421875;-6.453125;
0.271382;314.26563;-25.484375;-6.484375;
0.281476;314.3125;-24.890625;-6.484375;
0.29209697;314.29688;-24.609375;-6.53125;
0.30211398;314.25;-24.296875;-6.609375;
0.31227398;314.25;-24.28125;-6.25;
0.32229298;314.1875;-24.640625;-5.96875;
0.332364;313.84375;-25.96875;-6.0;
0.342631;309.9375;-27.28125;-5.625;
0.35272196;309.53125;-28.6875;-5.484375;
0.36276898;303.53125;-30.75;-4.765625;
