unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.0;-0.50395286;5.4617596;8.471856;
0.010179999;-0.47671217;5.3936577;8.144968;
0.020485999;-0.54481393;5.434519;7.8317;
0.032268;-0.5720546;5.448139;7.504812;
0.041352;-0.61291564;5.434519;7.137062;
0.051418;-0.6401563;5.4208984;6.864655;
0.061233;-0.6537767;5.3800373;6.67397;
0.072275;-0.5992953;5.407278;6.537767;
0.082641;-0.5720546;5.407278;6.5922484;
0.092716;-0.54481393;5.3800373;7.0689607;
0.102827;-0.54481393;5.325556;7.709117;
0.112854995;-0.51757324;5.243834;8.131348;
0.122848;-0.46309182;5.134871;8.049625;
0.132894;-0.46309182;5.1484914;7.763598;
0.14299698;-0.54481393;5.202973;7.572913;
0.15314999;-0.6401563;5.284695;7.600154;
0.162927;-0.667397;5.3527966;7.6954966;
0.17308;-0.667397;5.448139;7.6137743;
0.18755199;-0.6810174;5.4617596;7.4911914;
0.19758199;-0.7082581;5.448139;7.409469;
0.208356;-0.7627395;5.4208984;7.559293;
0.219333;-0.8036005;5.448139;8.104107;
0.22789298;-0.8308412;5.47538;8.812365;
0.23791999;-0.8036005;5.4208984;9.248216;
0.24800898;-0.7082581;5.3800373;9.547864;
0.258083;-0.6537767;5.339176;9.520623;
0.268191;-0.5720546;5.3119354;9.220976;
0.27888;-0.53119355;5.284695;8.934948;
0.288919;-0.50395286;5.2302136;8.662541;
0.298903;-0.54481393;5.2165933;8.349273;
0.308989;-0.6810174;5.1212506;8.131348;
0.31905898;-0.81722087;5.2574544;8.117727;
0.329336;-0.95342433;5.570722;8.390134;
0.33946398;-1.0623871;5.761407;8.785124;
0.349313;-0.9942854;5.8158884;9.043911;
0.359651;-0.8036005;5.6660647;9.0983925;
0.36968;-0.55843425;5.47538;9.316318;
0.381068;-0.3949901;5.271075;9.588725;
0.38991898;-0.29964766;5.0803895;9.847511;
0.400459;-0.14982383;4.8352237;10.119919;
0.41052;-0.14982383;4.508335;10.378705;
0.42349198;0.14982383;4.1814466;10.664732;
0.432614;0.29964766;3.8681788;10.896278;
0.441987;0.3405087;3.6230125;11.059722;
0.452007;0.24516626;3.5957718;11.318509;
0.46217498;0.027240695;3.6093922;11.672638;
0.472799;-0.2860273;3.6774938;12.108489;
0.48279998;-0.667397;3.636633;12.258313;
0.492452;-1.0079057;3.5140498;12.312795;
0.50334096;-1.253072;3.405087;11.999526;
0.512657;-1.4165162;3.3914666;11.468333;
0.522733;-1.4709976;3.4323275;10.96438;
0.532835;-1.5118586;3.4187074;10.446807;
0.543749;-1.5527196;3.3914666;9.929234;
0.553785;-1.5799603;3.405087;9.41166;
0.56317097;-1.607201;3.3778462;8.934948;
0.573198;-1.6480621;3.4323275;8.730643;
0.58330697;-1.8251266;3.445948;8.676162;
0.593433;-2.1247742;3.5276701;8.798744;
0.603471;-2.5333846;3.5957718;9.057531;
0.619174;-2.9147544;3.568531;9.438901;
0.628288;-3.214402;3.5004294;9.738548;
0.637764;-3.3233647;3.3506055;9.738548;
0.647884;-3.2961242;3.214402;9.575105;
0.657969;-3.2416427;2.9147544;9.316318;
0.66803396;-3.0645783;2.819412;8.975809;
0.678606;-2.7921712;2.8602731;8.62168;
0.689022;-2.5606253;2.8057916;8.308413;
0.699374;-2.2473574;2.7513103;8.022385;
0.709008;-1.96133;2.547005;7.7227373;
0.72150296;-1.6889231;2.6014864;7.504812;
0.730824;-1.5527196;2.7240696;7.1098213;
0.74018395;-1.6616824;2.8602731;6.8237944;
0.75017995;-1.9068487;2.9964764;6.605869;
0.760614;-2.1247742;3.1871614;6.4832854;
0.770859;-2.315459;3.336985;6.510526;
0.780777;-2.3563201;3.4323275;6.428804;
0.791056;-2.2473574;3.4731886;6.3607025;
0.80116403;-1.9885708;3.5140498;6.374323;
0.811153;-1.7706453;3.4731886;6.3879433;
0.82115394;-1.6616824;3.445948;6.3607025;
0.83133596;-1.6753027;3.4731886;6.4151835;
0.841805;-1.7706453;3.5412905;6.4832854;
0.85185397;-2.002191;3.6638734;6.769313;
0.86134;-2.2201166;3.8273177;7.3141265;
0.87144697;-2.315459;3.92266;7.804459;
0.88158196;-2.3563201;3.990762;8.131348;
0.89194894;-2.383561;4.0588636;8.3765135;
0.90175897;-2.3290794;4.0861044;8.417375;
0.911888;-2.1792557;4.031623;8.322033;
0.922104;-1.9340894;3.990762;8.267551;
0.93211395;-1.7706453;4.0180025;8.294792;
0.942352;-1.7025435;4.1269655;8.3765135;
0.95227396;-1.607201;4.344891;8.471856;
0.963731;-1.4709976;4.5491962;8.580819;
0.973021;-1.3892754;4.671779;8.798744;
0.982526;-1.3484144;4.8216033;9.057531;
0.99258196;-1.3484144;4.862464;9.343558;
1.002649;-1.3756552;4.903325;9.656827;
1.012741;-1.4437568;4.930566;9.901993;
1.0230119;-1.6208214;4.944186;10.174399;
1.03295;-1.6208214;4.944186;10.474048;
1.043008;-1.7706453;5.0259085;10.446807;
1.053645;-1.7297841;5.1212506;10.446807;
1.063317;-1.4573772;5.1484914;10.160779;
1.073281;-1.1577295;5.1212506;9.956474;
1.0850489;-0.667397;4.8488436;9.765789;
1.094172;-0.667397;4.8488436;9.765789;
1.1036029;-0.54481393;4.8352237;10.079058;
1.1136619;-0.3677494;4.8216033;10.433187;
1.1237969;-0.25878662;4.6445384;10.814556;
1.1338719;-0.14982383;4.4129925;11.127824;
1.1439439;0.12258313;4.1542063;11.318509;
1.1546919;0.5720546;3.92266;11.250407;
1.164274;1.0215261;3.7319753;11.182305;
1.174318;1.3756552;3.6774938;10.896278;
1.184347;1.607201;3.6774938;10.651112;
1.1943719;1.607201;3.6774938;10.446807;
1.205153;1.3756552;3.800077;10.514909;
1.2153679;1.0623871;3.8681788;10.9371395;
1.224715;0.58567494;3.8273177;11.618156;
1.234703;0.05448139;3.800077;12.340035;
1.24488;-0.42223078;3.6911142;12.789507;
1.254921;-0.7491191;3.568531;12.735025;
1.2649739;-0.939804;3.3914666;12.353656;
1.275204;-1.0487667;3.3097446;11.74074;
1.285201;-1.1849703;3.2825038;10.8281765;
1.295259;-1.1985906;3.2961242;10.038197;
1.3054109;-1.253072;3.3506055;9.507003;
1.315535;-1.293933;3.3642259;8.989429;
1.326226;-1.334794;3.3097446;8.580819;
1.339127;-1.293933;3.2280223;8.185829;
1.3476009;-1.253072;3.1599207;7.681876;
1.3575239;-1.1849703;3.1190596;7.286886;
1.3685049;-1.1577295;3.0645783;6.932757;
1.3777689;-1.1577295;2.9964764;6.742072;
1.387798;-1.0896279;2.9283748;6.605869;
1.397853;-1.0623871;2.8738933;6.6331096;
1.4081639;-1.1168685;2.73769;6.67397;
1.418345;-1.2666923;2.7649305;6.9463773;
1.429724;-1.5390993;2.8057916;7.096201;
1.4428879;-1.8659877;3.0237172;7.1234417;
1.4511439;-1.8659877;3.0237172;7.1234417;
1.4612759;-1.9885708;3.1599207;7.096201;
1.4720829;-2.083913;3.2825038;7.1098213;
1.481776;-2.192876;3.2961242;7.177923;
1.4918379;-2.233737;3.2688835;7.3141265;
1.501892;-2.192876;3.3097446;7.4230895;
1.5137539;-2.1247742;3.3778462;7.368608;
1.5227939;-2.0566726;3.5004294;7.3822284;
1.532344;-2.083913;3.6774938;7.4503303;
1.5423839;-2.152015;3.840938;7.641015;
1.5529629;-2.2745981;3.9771416;7.940663;
1.5626229;-2.5333846;4.0861044;8.349273;
1.5726539;-2.7104492;4.072484;8.689782;
1.582771;-2.8602731;3.9635212;9.01667;
1.592925;-2.9964764;3.8136973;9.152874;
1.6029229;-2.901134;3.7864566;9.234595;
1.61304;-2.6014864;3.9362805;9.057531;
1.6230869;-2.3699405;4.2223077;8.771504;
1.634509;-2.383561;4.3176503;8.635301;
1.643926;-2.6423476;4.072484;8.744264;
1.653477;-3.0100968;3.92266;8.962189;
1.6710119;-3.405087;4.1542063;9.425281;
1.68111;-3.4323275;4.0588636;9.80665;
1.690485;-3.3097446;3.840938;10.283362;
1.700496;-3.1054392;3.6230125;10.800936;
1.710822;-2.7921712;3.4731886;11.086963;
1.7211239;-2.465283;3.3233647;11.182305;
1.7310809;-2.2745981;3.1871614;11.059722;
1.7411609;-2.315459;3.1599207;10.8281765;
1.751125;-2.6151068;3.214402;10.58301;
1.761102;-2.9964764;3.3778462;10.419566;
1.771099;-3.3506055;3.6093922;10.269742;
1.7811879;-3.6774938;3.8681788;10.18802;
1.7921109;-3.8681788;4.0588636;10.20164;
1.801437;-3.881799;4.004382;10.20164;
1.8115449;-3.7319753;4.0180025;10.079058;
1.821922;-3.4595683;3.8681788;9.779409;
1.831757;-3.4595683;3.8681788;9.779409;
1.8417308;-3.091819;3.7047346;9.520623;
1.851818;-2.6559677;3.6093922;9.193735;
1.861967;-2.233737;3.5549107;8.825985;
1.872029;-1.8659877;3.4731886;8.294792;
1.8820999;-1.5527196;3.2961242;7.641015;
1.893003;-1.293933;3.214402;6.9191365;
1.9024779;-1.1441092;3.255263;6.2517395;
1.9141009;-0.95342433;3.4323275;5.611583;
1.9233578;-0.95342433;3.4323275;5.611583;
1.932717;-0.92618364;3.4595683;5.6660647;
1.942839;-0.95342433;3.568531;5.952092;
1.952897;-0.9125633;3.7047346;6.2517395;
1.9629799;-0.87170225;3.8273177;6.578628;
1.973048;-0.88532263;3.92266;6.8374147;
1.9832369;-0.89894295;3.9635212;7.04172;
1.9932469;-0.89894295;4.099725;7.1098213;
2.0033479;-0.9670447;4.2223077;7.1234417;
2.0133739;-1.0215261;4.3312707;7.177923;
2.023585;-1.1304889;4.467474;7.2596455;
2.034345;-1.3211738;4.535576;7.286886;
2.044467;-1.4573772;4.630918;7.43671;
2.053871;-1.5390993;4.7262607;7.6137743;
2.063894;-1.5527196;4.739881;7.872561;
2.074034;-1.5118586;4.7126403;8.19945;
2.084161;-1.3211738;4.69902;8.267551;
2.094384;-1.0760075;4.7126403;8.21307;
2.104372;-0.88532263;4.7943625;8.131348;
2.114431;-0.7354988;4.9169455;8.090487;
2.1245449;-0.626536;5.0259085;8.253931;
2.134712;-0.61291564;5.1076303;8.3765135;
2.144805;-0.54481393;5.243834;8.580819;
2.15545;-0.55843425;5.298315;8.853226;
2.1656802;-0.7354988;5.298315;9.139254;
2.174977;-0.9125633;5.3800373;9.41166;
2.185024;-1.0079057;5.5162406;9.479762;
2.1951518;-1.1713499;5.5162406;9.343558;
2.205805;-1.4165162;5.2574544;9.343558;
2.215519;-1.6208214;5.0259085;9.697687;
2.225597;-1.7161638;5.053149;10.378705;
2.235876;-1.7297841;5.1212506;11.413852;
2.24587;-1.607201;4.9578066;12.476238;
2.255907;-1.3620348;4.576437;13.293459;
2.265988;-0.939804;4.113345;13.579487;
2.277679;-0.54481393;3.6093922;12.966571;
2.286744;-0.14982383;3.4731886;11.631777;
2.296258;0.19068487;3.6774938;10.18802;
2.306776;0.3949901;3.92266;9.139254;
2.316465;0.38136974;4.1269655;8.635301;
2.326531;0.14982383;4.3585114;9.030291;
2.336685;-0.21792556;4.440233;10.024576;
2.346775;-0.50395286;4.3585114;11.059722;
2.3568277;-0.7082581;4.0861044;11.659018;
2.36702;-0.89894295;3.6774938;11.672638;
2.377163;-1.0760075;3.3097446;11.236787;
2.387153;-1.2394516;3.0645783;10.637491;
2.399071;-1.4301366;2.9283748;10.160779;
2.407962;-1.5799603;2.8602731;9.929234;
2.41742;-1.6344417;2.8057916;9.901993;
2.427506;-1.5390993;2.6968288;9.861132;
2.4379828;-1.3892754;2.547005;9.643207;
2.448015;-1.2258313;2.465283;9.357179;
2.458082;-1.1577295;2.4925237;8.948568;
2.4687438;-1.1168685;2.547005;8.417375;
2.478792;-1.0760075;2.6559677;7.804459;
2.488874;-1.0215261;2.6968288;7.286886;
2.499017;-0.95342433;2.73769;6.742072;
2.5095139;-0.9670447;2.8057916;6.374323;
2.5196428;-0.980665;2.969236;6.142777;
2.5295248;-1.0215261;3.173541;6.1700177;
2.539319;-1.0623871;3.1871614;6.3607025;
2.549413;-1.0760075;3.2280223;6.578628;
2.559448;-1.1168685;3.2961242;6.7965536;
2.5695949;-1.2803127;3.445948;6.905516;
2.579726;-1.4165162;3.6502533;6.9872384;
2.589744;-1.4165162;3.6502533;6.9872384;
2.59987;-1.56634;3.7728362;7.1506824;
2.609925;-1.7025435;3.9090397;7.504812;
2.620227;-1.8387469;3.990762;7.84532;
2.6315398;-1.879608;4.1542063;8.349273;
2.6411781;-1.6889231;4.167826;8.322033;
2.6510398;-1.6889231;4.167826;8.322033;
2.660811;-1.4437568;4.1814466;8.403754;
2.6707587;-1.3211738;4.2223077;8.430995;
2.680755;-1.2394516;4.2495484;8.676162;
2.6910849;-1.334794;4.3176503;8.975809;
2.7010407;-1.4437568;4.3585114;9.329938;
2.711079;-1.6208214;4.385752;9.643207;
2.7211208;-1.8523673;4.344891;9.80665;
2.7311118;-1.96133;4.3176503;9.901993;
2.7411149;-1.96133;4.426613;9.602345;
2.751787;-1.8387469;4.5491962;9.479762;
2.7619388;-1.9340894;4.508335;9.425281;
2.771385;-2.1792557;4.3312707;9.534244;
2.781454;-2.3971813;4.30403;9.752169;
2.791619;-2.5333846;4.276789;9.970095;
2.8016849;-2.7104492;4.1542063;10.242501;
2.8117428;-2.901134;3.92266;10.773695;
2.8218298;-2.969236;3.6502533;11.291268;
2.831948;-2.901134;3.486809;11.713499;
2.842041;-2.6559677;3.3778462;11.75436;
2.8521137;-2.4108016;3.2961242;11.454713;
2.8636649;-2.192876;3.2825038;10.814556;
2.879258;-2.0566726;3.3642259;10.256122;
2.8876128;-2.083913;3.636633;9.289077;
2.8977299;-2.1247742;3.7047346;8.934948;
2.9080608;-2.315459;3.6774938;8.880466;
2.918071;-2.5742457;3.6502533;9.043911;
2.9289079;-2.9419951;3.6911142;9.343558;
2.9388857;-3.336985;3.7864566;9.629586;
2.948598;-3.5549107;3.9499009;9.765789;
2.958727;-3.5140498;4.072484;9.820271;
2.968814;-3.5140498;3.8954194;9.779409;
2.97888;-3.5140498;3.8954194;9.779409;
2.9896808;-3.445948;3.445948;9.643207;
2.999106;-3.1871614;3.2825038;9.248216;
3.009165;-2.8330324;3.13268;8.635301;
3.0198388;-2.4516625;3.091819;7.995144;
3.029363;-1.9885708;3.0781987;7.286886;
3.039469;-1.5527196;3.1054392;6.769313;
3.049943;-1.2394516;3.214402;6.183638;
3.0605009;-1.0896279;3.2280223;5.8839903;
3.069697;-1.0896279;3.3914666;5.802268;
3.079767;-1.1304889;3.5412905;5.7750273;
3.089956;-1.2122109;3.636633;5.8567495;
3.0999837;-1.2258313;3.800077;5.938472;
3.1104739;-1.4301366;3.9362805;6.142777;
3.120519;-1.2666923;4.113345;6.3607025;
3.130517;-1.3211738;4.1542063;6.7148314;
3.140749;-1.3756552;4.1542063;7.1506824;
3.1508489;-1.4165162;4.195067;7.3958488;
3.160826;-1.4437568;4.235928;7.600154;
3.171826;-1.4437568;4.3176503;7.8589406;
3.1812637;-1.4437568;4.440233;8.022385;
3.1910708;-1.4437568;4.5628166;8.185829;
3.2011178;-1.4437568;4.5900574;8.22669;
3.211072;-1.3892754;4.576437;8.349273;
3.221087;-1.293933;4.671779;8.471856;
3.231736;-1.2258313;4.780742;8.62168;
3.2412658;-1.0896279;4.903325;8.689782;
3.2513258;-0.9942854;4.944186;8.894087;
3.261431;-0.9670447;5.09401;9.043911;
3.271627;-0.9670447;5.1621118;9.343558;
3.281624;-1.0215261;5.175732;9.724928;
3.292126;-1.1168685;5.1893525;10.092678;
3.3023968;-1.293933;5.1484914;10.378705;
3.3118818;-1.3620348;5.1212506;10.528529;
3.3219728;-1.3075534;5.175732;10.55577;
3.332098;-1.1849703;5.2574544;10.242501;
3.342222;-1.1304889;5.1484914;9.861132;
3.3522758;-1.1713499;4.9986677;9.697687;
3.3623629;-1.1713499;4.807983;9.861132;
3.3725119;-1.0623871;4.7943625;10.092678;
3.3825657;-0.92618364;4.6445384;10.501288;
3.392653;-0.8308412;4.30403;10.814556;
3.4028869;-0.8036005;3.8681788;11.127824;
3.4147098;-0.7082581;3.5004294;11.386611;
3.423549;-0.47671217;3.3097446;11.209546;
3.433378;-0.17706452;3.4323275;10.637491;
3.4434018;0.06810174;3.568531;9.833891;
3.453453;0.3677494;3.7455957;9.071152;
3.4636168;0.55843425;3.8681788;8.471856;
3.4736917;0.667397;4.0180025;8.240311;
3.483739;0.626536;4.072484;8.417375;
3.493796;0.53119355;3.9771416;8.7034025;
3.5039139;0.313268;3.7319753;9.057531;
3.514019;0.313268;3.5140498;9.425281;
3.524103;-0.3677494;3.405087;9.901993;
3.5343778;-0.6946377;3.3642259;10.310603;
3.5445278;-0.89894295;3.3233647;10.514909;
3.5544379;-0.9670447;3.3233647;10.3242235;
3.5644557;-0.88532263;3.3097446;9.80665;
3.57454;-0.81722087;3.3233647;9.030291;
3.584832;-0.7354988;3.336985;8.349273;
3.594797;-0.667397;3.3506055;7.8861814;
3.6099849;-0.6537767;3.3914666;7.668256;
3.619257;-0.6537767;3.4595683;7.5320525;
3.6288157;-0.54481393;3.5004294;7.327747;
