unit -> micro-Tesla (uT) and measure the ambient magnetic field in the X, Y and Z axis 
Timestamp;x-axis;y-axis;z-axis
0.0;-6.12;5.64;50.7;
0.010179999;-6.06;5.52;50.76;
0.020485999;-6.0;5.7;50.94;
0.032268;-6.0;5.64;51.0;
0.041352;-6.54;5.64;50.64;
0.051418;-6.8399997;5.7;50.7;
0.061233;-7.44;5.8199997;50.399998;
0.072275;-7.5;5.8199997;50.399998;
0.082641;-7.62;5.8799996;50.52;
0.092716;-7.8599997;5.8199997;50.34;
0.102827;-8.28;5.7599998;50.1;
0.112854995;-8.58;5.52;50.039997;
0.122848;-8.88;5.52;49.8;
0.132894;-9.12;5.52;49.68;
0.14299698;-9.42;5.46;49.379997;
0.15314999;-9.54;5.46;49.2;
0.162927;-9.66;5.2799997;49.26;
0.17308;-9.78;5.1;49.079998;
0.18755199;-9.96;4.74;48.96;
0.19758199;-9.96;4.56;48.84;
0.208356;-9.48;4.38;49.02;
0.219333;-9.66;4.14;49.14;
0.22789298;-9.36;3.72;49.379997;
0.23791999;-9.48;3.48;49.14;
0.24800898;-9.599999;3.06;49.02;
0.258083;-9.599999;2.76;49.02;
0.268191;-9.48;2.52;49.14;
0.27888;-9.42;2.28;49.26;
0.288919;-9.48;1.92;49.2;
0.298903;-9.42;1.62;49.32;
0.308989;-9.36;1.3199999;49.5;
0.31905898;-9.42;1.14;49.559998;
0.329336;-9.42;0.96;49.26;
0.33946398;-9.48;0.96;49.32;
0.349313;-9.42;0.96;49.379997;
0.359651;-9.54;0.71999997;49.379997;
0.36968;-9.719999;0.42;49.559998;
0.381068;-9.42;0.29999998;49.32;
0.38991898;-9.42;0.29999998;49.32;
0.400459;-9.36;0.29999998;49.32;
0.41052;-9.24;0.24;49.32;
0.42349198;-9.24;0.12;49.32;
0.432614;-9.059999;0.12;49.32;
0.441987;-8.88;-0.12;49.5;
0.452007;-8.76;-0.29999998;49.5;
0.46217498;-8.94;-0.48;49.44;
