unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
0.0;169.96875;-32.765625;-2.859375;
0.010179999;170.0625;-33.453125;-2.796875;
0.020485999;170.25;-34.703125;-3.28125;
0.032268;170.46875;-35.90625;-3.53125;
0.041352;170.67188;-37.1875;-3.921875;
0.051418;170.85938;-38.171875;-4.171875;
0.061233;170.98438;-38.75;-4.375;
0.072275;171.0625;-39.484375;-4.03125;
0.082641;171.09375;-39.25;-3.828125;
0.092716;171.01563;-37.1875;-3.5;
0.102827;170.79688;-34.578125;-3.328125;
0.112854995;170.46875;-32.75;-3.046875;
0.122848;170.0625;-32.484375;-2.765625;
0.132894;169.6875;-33.515625;-2.859375;
0.14299698;169.39063;-34.4375;-3.390625;
0.15314999;169.15625;-34.703125;-3.953125;
0.162927;168.95313;-34.703125;-4.0625;
0.17308;168.76563;-35.5;-4.09375;
0.18755199;168.59375;-35.96875;-4.203125;
0.19758199;168.46875;-36.21875;-4.390625;
0.208356;168.4375;-35.515625;-4.671875;
0.219333;168.35938;-33.78125;-4.703125;
0.22789298;168.28125;-31.734375;-4.5625;
0.23791999;168.10938;-30.28125;-4.28125;
0.24800898;167.82813;-29.3125;-3.6875;
0.258083;167.53125;-29.234375;-3.421875;
0.268191;167.26563;-29.90625;-3.078125;
0.27888;167.03125;-30.546875;-2.9375;
0.288919;166.82813;-31.078125;-2.859375;
0.298903;166.71875;-31.9375;-3.15625;
0.308989;166.75;-32.109375;-4.0625;
0.31905898;166.875;-32.78125;-4.8125;
0.329336;167.0625;-33.40625;-5.40625;
0.33946398;167.26563;-33.046875;-5.765625;
0.349313;167.40625;-32.59375;-5.296875;
0.359651;167.39063;-31.8125;-4.28125;
0.36968;167.17188;-30.390625;-2.96875;
0.381068;166.85938;-28.765625;-2.0625;
0.38991898;166.4375;-27.296875;-1.53125;
0.400459;161.96875;-25.53125;-0.75;
0.41052;158.26563;-23.484375;-0.75;
0.42349198;154.65625;-21.40625;0.75;
0.432614;154.23438;-19.546875;1.484375;
0.441987;150.25;-18.125;1.671875;
0.452007;150.0625;-17.609375;1.171875;
0.46217498;150.0;-17.171875;0.140625;
0.472799;150.09375;-16.890625;-1.28125;
0.48279998;150.46875;-16.5;-3.0;
0.492452;154.82813;-15.875;-4.515625;
0.50334096;159.17188;-15.75;-5.75;
0.512657;163.21875;-16.359375;-6.765625;
0.522733;163.59375;-17.234375;-7.296875;
0.532835;167.29688;-17.953125;-7.828125;
0.543749;167.64063;-18.65625;-8.421875;
0.553785;168.07813;-19.640625;-8.96875;
0.56317097;172.01563;-20.40625;-9.5625;
0.573198;172.32813;-21.125;-9.953125;
0.58330697;176.01563;-21.234375;-11.0625;
0.593433;176.45313;-21.296875;-12.640625;
0.603471;181.65625;-20.921875;-14.5625;
0.619174;186.28125;-19.875;-16.109375;
0.628288;190.5;-18.859375;-17.265625;
0.637764;190.90625;-18.03125;-17.890625;
0.647884;194.54688;-17.625;-18.0625;
0.657969;194.89063;-16.453125;-18.359375;
0.66803396;195.17188;-16.5625;-18.03125;
0.678606;195.25;-17.5;-17.09375;
0.689022;195.20313;-17.890625;-16.265625;
