unit -> radians/second and measure the Angular speed around the X, Y and Z axis
Timestamp;x-axis;y-axis;z-axis;
0.0028259999;-0.013439;0.083078;0.008552;
0.012158999;0.481871;0.828216;-0.286111;
0.021482;0.554750;0.584363;-0.592260;
0.030818999;0.333663;0.512346;-0.791310;
0.040085;0.022029;0.479122;-0.877472;
0.049698;-0.285706;0.421590;-0.860601;
0.058982998;-0.613455;0.325338;-0.719603;
0.068118;-0.818402;0.233102;-0.525243;
0.077397;-0.916168;0.158435;-0.368151;
0.087132;-0.960156;0.101262;-0.260474;
0.096357994;-0.979321;0.070868;-0.189496;
0.105611;-0.982399;0.074385;-0.171343;
0.114824;-0.967319;0.088963;-0.237444;
0.124281995;-0.891934;0.116832;-0.436812;
0.133786;-0.728447;0.068070;-0.681712;
0.14264;-0.628937;0.067922;-0.774484;
0.151926;-0.623052;0.177595;-0.761752;
0.16125101;-0.614806;0.341413;-0.710951;
0.170531;-0.612885;0.482898;-0.625444;
0.179967;-0.657063;0.522042;-0.543820;
0.189311;-0.807908;0.366693;-0.461324;
0.19856898;-0.927233;0.101063;-0.360591;
0.20793399;-0.963707;-0.085909;-0.252763;
0.217546;-0.972371;-0.152852;-0.176442;
0.22656098;-0.983880;-0.134485;-0.117874;
0.235863;-0.994172;-0.091951;-0.056274;
0.245162;-0.999251;-0.037940;0.007588;
0.254481;-0.994919;0.082062;0.058325;
0.263787;-0.946731;0.310775;0.084383;
0.27322498;-0.744578;0.665983;0.045502;
0.282582;-0.248205;0.955685;-0.158304;
0.29164398;-0.074334;0.963859;-0.255832;
0.30096897;-0.141428;0.951960;-0.271606;
0.310283;-0.215692;0.914732;-0.341676;
0.319819;-0.301391;0.858010;-0.415911;
0.328998;-0.423422;0.804207;-0.417090;
0.33825698;-0.547581;0.771084;-0.324938;
0.347585;-0.617215;0.764603;-0.185546;
0.35690898;-0.706734;0.707301;0.015894;
0.366203;-0.807263;0.545516;0.225253;
0.375545;-0.869942;0.363408;0.333370;
0.38485697;-0.901140;0.234224;0.364809;
0.39415297;-0.909630;0.176461;0.376079;
0.403499;-0.912504;0.126010;0.389175;
0.412814;-0.924908;0.071946;0.373321;
0.42213598;-0.937218;0.085416;0.338123;
0.43142897;-0.952016;0.165747;0.257279;
0.44075298;-0.955583;0.270530;0.116939;
0.450065;-0.924224;0.377552;-0.057136;
0.45939198;-0.858397;0.452609;-0.241453;
0.46871698;-0.788924;0.477194;-0.387149;
0.478025;-0.684694;0.515361;-0.515361;
0.487331;-0.533333;0.525146;-0.663157;
0.49663296;-0.219746;0.429236;-0.876052;
0.50596297;0.220022;0.145413;-0.964596;
0.515279;0.446588;-0.133651;-0.884701;
0.524595;0.506183;-0.332880;-0.795594;
0.533918;0.524979;-0.452080;-0.721125;
0.54335696;0.573487;-0.504003;-0.645828;
0.552576;0.623540;-0.491738;-0.607776;
0.561881;0.681668;-0.416312;-0.601675;
0.571164;0.723365;-0.272201;-0.634547;
0.58056694;0.736566;-0.072055;-0.672517;
0.589816;0.712437;0.146409;-0.686293;
0.59914297;0.694064;0.302190;-0.653419;
0.608467;0.712449;0.368525;-0.597165;
0.617821;0.765657;0.342485;-0.544493;
0.627082;0.872555;0.111082;-0.475719;
0.63640994;0.835838;-0.479796;-0.266778;
0.64572495;0.392421;-0.919091;-0.035747;
0.655069;0.039319;-0.998714;0.032017;
0.66436297;-0.167756;-0.985400;0.029060;
0.67365795;-0.292910;-0.955935;0.019786;
0.68300194;-0.351796;-0.936076;-0.000767;
0.69251895;-0.386756;-0.921166;-0.043270;
0.701602;-0.400796;-0.909692;-0.108733;
0.71094894;-0.370723;-0.874424;-0.312966;
0.72029096;0.381158;0.213448;-0.899532;
0.7296199;0.535577;0.642330;-0.548242;
0.73889995;0.552615;0.666676;-0.500159;
0.748239;0.556888;0.669385;-0.491731;
0.757657;0.552991;0.667036;-0.499263;
0.766862;0.551240;0.656624;-0.514761;
0.776235;0.563704;0.655158;-0.502997;
0.78543997;0.546179;0.659135;-0.516943;
0.79508495;0.320884;0.753591;-0.573702;
0.80414796;-0.072814;0.838619;-0.539830;
0.813427;-0.211529;0.849158;-0.483929;
0.822728;-0.239005;0.843603;-0.480844;
0.832054;-0.246710;0.859352;-0.447938;
0.841388;-0.244507;0.876241;-0.415232;
0.850689;-0.262997;0.882820;-0.389180;
0.86003196;-0.306836;0.872847;-0.379459;
0.86937296;-0.396662;0.848035;-0.351419;
0.87865597;-0.569945;0.779146;-0.260948;
0.887969;-0.840826;0.540704;-0.025516;
0.897329;-0.937299;-0.053606;0.344380;
0.906598;-0.599719;-0.605159;0.523564;
0.915945;-0.288916;-0.842853;0.454011;
0.92522395;-0.149040;-0.937509;0.314426;
0.934594;-0.052711;-0.987800;0.146536;
0.94408995;0.125282;-0.988192;-0.088209;
0.95315397;0.377250;-0.881167;-0.285003;
0.962494;0.566836;-0.765859;-0.303572;
0.97179997;0.619295;-0.717389;-0.319102;
0.98112696;0.548970;-0.772748;-0.318579;
0.99045193;0.409866;-0.860920;-0.301372;
0.99980897;0.290106;-0.913922;-0.283876;
1.009077;0.292710;-0.910297;-0.292710;
1.0184209;0.344702;-0.887033;-0.307168;
1.027722;0.392989;-0.879305;-0.269041;
1.0370259;0.361145;-0.908097;-0.211977;
1.046338;0.288689;-0.947666;-0.136340;
1.0556849;0.215756;-0.971732;-0.095845;
1.064981;0.188498;-0.978432;-0.084499;
1.074293;0.151435;-0.980963;-0.121569;
1.083754;0.096521;-0.974452;-0.202797;
1.092957;0.024284;-0.941955;-0.334860;
1.1022531;-0.044402;-0.853593;-0.519046;
1.111559;-0.070213;-0.750082;-0.657606;
1.120899;-0.045400;-0.705041;-0.707712;
1.1302129;-0.032872;-0.729931;-0.682730;
1.1395409;-0.020103;-0.784014;-0.620418;
1.148826;0.050128;-0.804660;-0.591616;
1.1582919;0.116457;-0.765525;-0.632779;
1.167666;0.189997;-0.669450;-0.718149;
1.1767819;0.272126;-0.525643;-0.806006;
1.186132;0.327340;-0.349255;-0.877992;
1.195405;0.340247;-0.153265;-0.927762;
1.20477;0.303364;0.035690;-0.952206;
1.214137;0.220485;0.159523;-0.962257;
1.223399;0.137304;0.179894;-0.974056;
1.23269;0.110924;0.138447;-0.984138;
1.242012;0.143304;0.064497;-0.987575;
1.2513309;0.223554;-0.019350;-0.974499;
1.26061;0.298910;-0.101757;-0.948840;
1.2699559;0.342649;-0.170108;-0.923935;
1.279305;0.358939;-0.205423;-0.910475;
1.288582;0.358496;-0.203902;-0.910991;
1.2978929;0.353298;-0.162067;-0.921366;
1.3073289;0.340592;-0.100757;-0.934797;
1.316543;0.329649;-0.059875;-0.942203;
1.325871;0.332618;-0.068713;-0.940555;
1.3352039;0.349536;-0.109048;-0.930555;
1.344543;0.330623;-0.177309;-0.926957;
1.3538009;0.299365;-0.234826;-0.924791;
1.3631359;0.284471;-0.256504;-0.923733;
1.3724589;0.276587;-0.237942;-0.931066;
1.3817629;0.287712;-0.190570;-0.938565;
1.3910509;0.311312;-0.125161;-0.942030;
1.4004089;0.347292;-0.047086;-0.936574;
1.4099609;0.396530;0.020371;-0.917796;
1.4190769;0.458185;0.048514;-0.887532;
1.428383;0.534123;0.046895;-0.844105;
1.437703;0.594850;0.018258;-0.803629;
1.447;0.638429;-0.044755;-0.768379;
