unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
0.0;103.15625;-36.28125;-6.765625;
0.0101809995;102.84375;-36.109375;-6.140625;
0.020128999;102.6875;-37.03125;-6.53125;
0.030202;102.65625;-37.75;-6.59375;
0.040452;102.671875;-38.140625;-6.59375;
0.050541;102.734375;-38.421875;-6.03125;
0.062767;102.90625;-39.4375;-5.65625;
0.072276995;103.125;-40.015625;-5.125;
0.082333;103.359375;-40.015625;-5.125;
0.092369;103.71875;-40.921875;-5.34375;
0.102414995;104.125;-41.5625;-5.265625;
0.112615995;104.53125;-41.6875;-5.40625;
0.122770995;104.890625;-41.125;-5.46875;
0.139347;105.234375;-40.65625;-6.109375;
0.14959699;105.5625;-40.375;-5.90625;
0.159723;105.859375;-39.9375;-6.171875;
0.169964;106.125;-39.796875;-6.140625;
0.179917;106.390625;-39.859375;-6.140625;
0.19038999;106.671875;-39.90625;-6.328125;
0.200247;106.90625;-39.328125;-6.671875;
0.210291;107.140625;-39.0625;-6.734375;
0.22051698;107.296875;-38.25;-6.8125;
0.23063698;107.40625;-37.390625;-7.171875;
0.240474;107.4375;-36.25;-7.4375;
0.250565;107.453125;-35.421875;-7.75;
0.26064798;107.4375;-34.625;-8.0;
0.27084997;107.390625;-33.890625;-8.0;
0.286068;107.296875;-33.1875;-7.890625;
0.295528;107.203125;-32.734375;-7.609375;
0.30558398;107.109375;-32.3125;-7.15625;
0.315563;107.015625;-32.15625;-6.625;
0.32563;106.890625;-31.890625;-5.578125;
0.33576798;106.703125;-31.390625;-4.171875;
0.346016;106.46875;-30.75;-3.28125;
0.356174;106.125;-29.328125;-2.796875;
0.36621198;105.765625;-28.34375;-3.078125;
0.37622598;105.34375;-26.8125;-3.859375;
0.386367;104.921875;-25.875;-4.625;
0.396803;104.5;-25.234375;-4.5625;
0.407726;100.859375;-24.515625;-3.53125;
0.41771397;100.484375;-23.390625;-1.84375;
0.427708;96.515625;-21.9375;-0.5625;
0.437773;96.125;-20.5;0.59375;
0.44799;92.5;-19.328125;1.140625;
0.45799997;92.21875;-18.390625;1.265625;
0.46798897;91.90625;-17.734375;1.59375;
0.47811598;91.578125;-17.171875;1.671875;
0.488185;91.28125;-17.09375;1.671875;
0.498236;91.125;-17.890625;1.484375;
0.508311;91.171875;-19.359375;1.625;
0.518694;91.421875;-21.0;1.734375;
0.528616;95.453125;-23.640625;2.46875;
0.53918004;95.859375;-25.3125;4.0625;
0.549155;96.21875;-25.484375;5.34375;
0.5606;96.515625;-25.046875;5.71875;
0.57017297;96.640625;-23.625;5.796875;
0.58022594;96.640625;-22.453125;5.1875;
0.59023094;96.5;-21.109375;4.5625;
0.600311;96.328125;-20.8125;3.96875;
0.610365;96.1875;-20.96875;3.28125;
0.620668;96.140625;-21.84375;2.9375;
0.631547;96.25;-22.8125;2.484375;
0.640859;96.4375;-23.515625;1.9375;
0.65098804;96.671875;-24.0;1.734375;
0.66107196;96.984375;-24.453125;1.28125;
0.671209;100.921875;-25.78125;0.984375;
0.681286;101.28125;-26.375;0.703125;
0.691439;105.359375;-27.515625;1.03125;
0.701465;105.796875;-28.890625;1.484375;
0.71163195;110.078125;-30.28125;2.203125;
0.721888;110.46875;-31.203125;2.328125;
0.732525;110.859375;-31.796875;2.734375;
0.742053;111.28125;-32.578125;3.609375;
0.752473;115.515625;-34.46875;4.734375;
0.76383895;115.75;-35.5625;7.125;
0.77387893;115.84375;-35.28125;9.109375;
0.784361;115.984375;-36.53125;10.71875;
0.794128;116.171875;-37.515625;11.328125;
0.80679095;116.4375;-37.515625;10.640625;
0.816448;116.578125;-36.1875;11.65625;
0.826833;116.5625;-35.0625;13.78125;
0.83708996;116.671875;-35.140625;13.203125;
0.84764194;117.0625;-36.15625;11.171875;
0.85867697;117.5;-34.9375;10.15625;
0.86818296;117.15625;-28.96875;13.5625;
0.878172;104.421875;-18.859375;20.734375;
0.888217;88.265625;-5.9375;27.921875;
0.898316;74.71875;3.6875;31.625;
0.90908897;70.09375;-0.671875;29.765625;
0.919149;74.78125;-10.375;24.515625;
0.92910296;79.171875;-12.296875;23.875;
0.93919396;79.546875;-12.515625;26.078125;
0.94915396;84.140625;-13.734375;27.640625;
0.95910794;84.5625;-14.3125;30.03125;
0.96925294;88.28125;-14.5;31.359375;
0.97931796;88.59375;-14.875;32.65625;
0.98932403;88.875;-14.21875;32.65625;
0.99947095;89.046875;-13.15625;32.125;
1.0113479;89.140625;-12.03125;31.625;
1.0209119;89.109375;-10.640625;31.109375;
1.030888;88.953125;-8.9375;30.8125;
1.040861;88.8125;-8.21875;30.125;
1.05102;88.71875;-7.78125;29.9375;
1.061077;88.671875;-7.4375;29.890625;
1.0711809;88.75;-7.375;29.65625;
1.081257;88.953125;-7.40625;30.03125;
1.0913329;89.140625;-6.5625;31.5;
1.1016309;93.515625;-8.703125;33.34375;
1.111548;93.734375;-7.65625;33.90625;
1.1216309;93.703125;-4.953125;35.359375;
1.131717;89.609375;-4.953125;34.953125;
1.141885;89.25;1.84375;34.265625;
1.1520039;88.9375;2.4375;34.09375;
1.162041;85.15625;4.703125;34.265625;
1.172115;81.25;7.75;34.765625;
1.1822649;75.0625;12.96875;34.859375;
1.19381;67.28125;19.296875;34.34375;
1.203222;58.53125;25.96875;32.796875;
1.2131659;50.625;32.0625;31.765625;
1.223282;44.859375;36.78125;32.296875;
1.2333599;44.421875;39.71875;33.40625;
1.2435039;40.6875;41.15625;34.015625;
1.254706;40.34375;43.140625;33.953125;
1.28013;35.671875;47.375;32.25;
1.28976;35.4375;48.21875;34.265625;
1.2996999;35.640625;44.953125;40.578125;
1.3097689;35.375;50.3125;36.140625;
1.320395;31.640625;51.953125;34.09375;
1.3304839;27.953125;53.515625;32.125;
1.340555;27.578125;54.140625;31.265625;
1.3506539;22.421875;56.390625;28.8125;
1.3607811;22.015625;56.125;28.90625;
1.37127;18.171875;55.875;29.265625;
1.380944;18.046875;53.9375;31.453125;
1.391012;18.1875;50.8125;34.890625;
1.401114;22.1875;46.875;39.140625;
1.4111689;28.28125;42.25;44.28125;
1.421301;36.6875;37.046875;49.859375;
1.4313589;46.796875;31.890625;55.453125;
1.442125;57.328125;27.5625;59.984375;
1.451682;67.3125;24.140625;63.484375;
1.4625639;77.0;21.296875;66.328125;
1.471856;84.890625;19.859375;68.046875;
1.4819419;89.203125;20.078125;68.515625;
