unit -> micro-Tesla (uT) and measure the ambient magnetic field in the X, Y and Z axis 
Timestamp;x-axis;y-axis;z-axis
0.0;-35.16;27.119999;41.94;
0.0101809995;-35.28;27.0;42.12;
0.020128999;-35.1;26.82;42.12;
0.030202;-35.1;26.64;42.239998;
0.040452;-35.16;26.64;42.42;
0.050541;-34.86;26.4;42.66;
0.062767;-34.98;26.22;42.899998;
0.072276995;-34.92;25.98;42.899998;
0.082333;-34.68;25.92;43.14;
0.092369;-34.739998;25.68;43.379997;
0.102414995;-34.8;25.5;43.32;
0.112615995;-34.92;25.5;43.559998;
0.122770995;-34.8;25.26;43.559998;
0.139347;-34.8;24.96;43.5;
0.14959699;-34.68;24.72;43.68;
0.159723;-34.739998;24.6;43.8;
0.169964;-34.86;24.539999;43.86;
0.179917;-34.92;24.359999;43.8;
0.19038999;-35.1;24.18;43.92;
0.200247;-35.1;24.06;43.92;
0.210291;-35.04;23.82;43.98;
0.22051698;-34.92;23.76;44.16;
0.23063698;-34.739998;23.64;44.399998;
0.240474;-34.62;23.46;44.46;
0.250565;-34.38;23.039999;44.7;
0.26064798;-34.2;22.8;44.76;
0.27084997;-33.84;22.68;45.239998;
0.286068;-33.78;22.26;45.239998;
0.295528;-33.42;22.02;45.48;
0.30558398;-33.0;21.84;46.02;
0.315563;-32.82;21.66;46.26;
0.32563;-32.64;21.3;46.379997;
0.33576798;-32.16;21.06;46.559998;
0.346016;-31.74;20.76;46.8;
0.356174;-31.199999;20.52;47.1;
0.36621198;-30.779999;20.22;47.46;
0.37622598;-30.359999;19.92;47.82;
0.386367;-30.0;19.5;47.94;
0.396803;-29.76;19.199999;48.0;
0.407726;-29.279999;18.84;48.3;
0.41771397;-29.22;18.66;48.42;
0.427708;-28.98;18.359999;48.84;
0.437773;-28.68;18.06;48.96;
0.44799;-27.96;17.82;49.32;
0.45799997;-27.84;17.46;49.5;
0.46798897;-27.66;17.22;49.559998;
0.47811598;-27.3;16.98;49.739998;
0.488185;-26.699999;16.98;50.1;
0.498236;-26.58;16.8;50.579998;
0.508311;-26.279999;16.8;50.82;
0.518694;-26.22;16.74;50.879997;
0.528616;-26.22;16.8;50.879997;
0.53918004;-25.859999;16.8;51.059998;
0.549155;-25.5;16.859999;51.18;
0.5606;-25.26;16.859999;51.36;
0.57017297;-25.08;17.039999;51.539997;
0.58022594;-24.779999;17.16;51.6;
0.59023094;-24.359999;17.22;51.539997;
0.600311;-24.06;17.34;51.48;
0.610365;-23.939999;17.46;51.6;
0.620668;-23.58;17.699999;51.6;
0.631547;-23.16;17.699999;51.719997;
0.640859;-22.8;18.0;51.719997;
0.65098804;-22.439999;18.0;51.539997;
0.66107196;-21.9;18.119999;51.539997;
0.671209;-21.539999;18.18;51.539997;
0.681286;-21.18;18.24;51.539997;
0.691439;-20.46;18.24;51.66;
0.701465;-20.16;18.24;51.78;
0.71163195;-19.92;18.42;51.78;
0.721888;-19.74;18.48;51.84;
0.732525;-19.5;18.6;51.66;
0.742053;-19.14;18.539999;51.719997;
0.752473;-18.84;18.72;51.84;
0.76383895;-18.539999;18.66;52.02;
0.77387893;-18.06;18.779999;52.14;
0.784361;-17.64;18.72;52.32;
0.794128;-17.34;18.84;52.32;
0.80679095;-16.92;18.66;52.62;
0.816448;-16.32;18.48;52.98;
0.826833;-15.78;18.18;53.16;
0.83708996;-15.0;17.94;53.46;
0.84764194;-14.099999;17.82;53.76;
0.85867697;-13.259999;17.46;53.94;
0.86818296;-12.24;17.279999;54.18;
0.878172;-11.16;16.98;54.48;
0.888217;-9.66;16.68;54.66;
0.898316;-8.16;16.199999;55.079998;
0.90908897;-7.02;15.96;55.32;
0.919149;-5.8199997;15.42;55.5;
0.92910296;-4.44;15.059999;55.62;
0.93919396;-3.24;14.639999;55.739998;
0.94915396;-1.9799999;14.219999;55.98;
0.95910794;-0.96;13.799999;56.1;
0.96925294;-0.96;13.5;56.219997;
0.97931796;0.78;13.2;56.28;
0.98932403;1.68;12.78;56.219997;
0.99947095;2.1599998;12.42;56.219997;
1.0113479;2.8799999;11.88;56.34;
1.0209119;3.48;11.4;56.46;
1.030888;3.8999999;10.559999;56.34;
1.040861;4.08;9.78;56.28;
1.05102;4.2599998;9.059999;56.34;
1.061077;4.14;8.34;56.399998;
1.0711809;4.14;7.5;56.52;
