unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
0.0;342.28125;-20.5;-3.671875;
0.010078;342.4375;-20.4375;-4.671875;
0.020154;342.53125;-20.3125;-5.203125;
0.030250998;342.59375;-20.375;-5.765625;
0.041805;342.67188;-19.921875;-5.515625;
0.051489;342.8125;-19.625;-4.90625;
0.061325997;343.0;-19.03125;-4.03125;
0.071594;343.26563;-18.390625;-3.078125;
0.081567995;343.5625;-18.0625;-2.765625;
0.091624;343.875;-17.890625;-2.9375;
0.101752;344.14063;-18.0;-3.6875;
0.111774;344.32813;-18.765625;-4.703125;
0.121846996;344.4375;-19.71875;-5.375;
0.13191399;344.51563;-20.15625;-5.90625;
0.14193599;344.53125;-20.53125;-6.46875;
0.15223698;344.57813;-19.921875;-6.5;
0.162299;344.65625;-19.90625;-6.34375;
0.172482;344.8125;-20.609375;-5.40625;
0.18236999;345.04688;-20.96875;-4.515625;
0.19256099;345.29688;-21.3125;-4.484375;
0.202528;345.48438;-21.421875;-5.203125;
0.21276098;345.59375;-21.25;-6.1875;
0.22508098;345.67188;-21.0;-7.171875;
0.234679;345.6875;-21.25;-8.078125;
0.24508;345.70313;-22.09375;-7.640625;
0.25506;345.76563;-22.71875;-6.875;
0.265171;345.90625;-23.140625;-5.46875;
0.277899;346.14063;-22.953125;-4.140625;
0.287713;346.42188;-22.46875;-3.328125;
0.297855;346.71875;-21.734375;-3.109375;
0.30764;346.98438;-21.1875;-3.296875;
0.317923;347.3125;-20.015625;-2.65625;
0.327792;347.65625;-18.953125;-2.546875;
0.33938798;347.90625;-18.421875;-3.25;
0.34888196;348.04688;-17.671875;-4.140625;
0.35897198;348.15625;-16.71875;-4.109375;
0.36904898;348.23438;-16.59375;-3.96875;
0.379139;348.28125;-16.953125;-3.953125;
0.38923;348.32813;-16.953125;-3.546875;
0.39936897;348.29688;-16.71875;-4.0;
0.409495;348.14063;-16.265625;-5.046875;
0.41950598;347.90625;-15.71875;-5.765625;
0.429814;347.65625;-14.625;-6.28125;
0.44096196;347.35938;-13.84375;-7.015625;
0.45040196;346.98438;-13.125;-7.75;
0.460369;346.65625;-12.0625;-7.546875;
0.47042498;346.35938;-11.234375;-6.953125;
0.48051298;346.0625;-11.140625;-6.5625;
0.490652;345.6875;-11.953125;-6.8125;
0.50124;345.29688;-12.171875;-6.640625;
0.510816;344.90625;-11.578125;-6.78125;
0.521185;344.51563;-10.75;-6.703125;
0.53098696;344.125;-10.1875;-6.765625;
0.541056;343.73438;-9.671875;-6.25;
0.551233;343.34375;-9.53125;-5.546875;
0.561246;342.95313;-9.46875;-5.0625;
0.571363;342.51563;-9.46875;-5.046875;
0.58142596;342.07813;-9.609375;-4.59375;
0.591527;337.92188;-10.390625;-4.671875;
0.601573;337.5625;-10.859375;-5.015625;
0.611696;337.15625;-11.40625;-5.203125;
0.62177795;333.39063;-11.8125;-5.40625;
0.631851;333.04688;-12.234375;-5.859375;
0.64193296;332.6875;-12.265625;-5.890625;
0.652009;332.32813;-11.96875;-5.796875;
0.66211694;331.95313;-11.515625;-5.9375;
0.67222595;331.57813;-11.03125;-6.046875;
0.682341;331.23438;-11.0;-5.71875;
0.693913;330.92188;-11.09375;-5.265625;
0.703494;330.64063;-11.46875;-4.3125;
0.71361494;330.375;-12.125;-3.53125;
0.7238;330.07813;-13.125;-3.21875;
0.733756;329.79688;-13.265625;-3.0;
0.743844;329.53125;-12.859375;-3.15625;
0.754054;329.3125;-12.203125;-3.1875;
0.764091;329.10938;-11.328125;-3.0;
0.77765495;328.96875;-10.6875;-2.34375;
0.787704;328.95313;-10.328125;-0.671875;
0.79845494;329.125;-10.375;1.9375;
0.80807394;329.40625;-10.71875;4.171875;
0.81875396;329.71875;-10.921875;5.5;
0.83278;329.98438;-10.984375;5.359375;
0.8423879;330.15625;-10.640625;4.765625;
0.852433;330.23438;-10.515625;4.34375;
0.86225;330.29688;-10.015625;4.3125;
0.87234896;330.39063;-9.359375;4.734375;
0.88244796;330.54688;-8.484375;5.4375;
0.89260197;330.75;-8.1875;6.28125;
0.90271497;330.96875;-8.671875;7.125;
0.91352296;331.20313;-8.984375;7.71875;
0.92310095;331.42188;-9.09375;8.109375;
0.93349296;331.67188;-9.09375;8.484375;
0.94382095;331.89063;-8.828125;8.234375;
0.954193;332.04688;-8.875;7.578125;
0.9638339;332.20313;-8.8125;7.546875;
0.973897;332.34375;-8.984375;7.40625;
0.983971;332.5;-8.78125;7.4375;
0.99405193;332.67188;-9.078125;7.78125;
1.004163;332.875;-9.875;8.453125;
1.014247;333.0625;-11.0;8.9375;
1.0243299;333.20313;-12.03125;9.09375;
1.034408;333.26563;-13.09375;8.765625;
1.044495;333.23438;-13.78125;8.0625;
1.0547;333.0625;-14.671875;7.0625;
1.06467;332.79688;-15.40625;6.28125;
1.074734;332.46875;-15.71875;5.578125;
1.084819;332.125;-16.34375;5.578125;
1.096987;331.875;-16.3125;6.421875;
1.106631;331.6875;-16.3125;6.421875;
1.1164501;331.5625;-15.6875;6.921875;
1.12656;331.45313;-15.75;7.15625;
1.136635;331.3125;-16.546875;7.1875;
1.146685;331.07813;-17.234375;6.765625;
1.1568071;330.78125;-17.765625;6.421875;
1.166884;326.3125;-19.65625;4.375;
1.176953;325.89063;-21.578125;4.109375;
1.187029;325.53125;-21.640625;4.484375;
1.197191;325.14063;-21.8125;3.8125;
1.2072399;324.8125;-21.390625;3.75;
1.217297;324.53125;-20.96875;3.71875;
1.22734;324.28125;-20.5;3.6875;
1.23753;324.01563;-20.109375;2.90625;
1.247607;323.60938;-21.578125;2.265625;
1.257698;319.3125;-23.203125;1.90625;
1.2692239;318.90625;-24.328125;1.984375;
1.279024;318.51563;-24.796875;1.84375;
1.288729;318.1875;-24.0;1.796875;
1.2987939;317.96875;-22.953125;1.796875;
1.308871;317.82813;-22.5625;1.84375;
1.3189949;317.6875;-23.203125;2.765625;
1.329101;317.5625;-24.28125;4.375;
1.3391609;317.29688;-26.1875;4.84375;
1.349223;316.89063;-27.8125;5.265625;
1.3593359;313.10938;-28.359375;5.234375;
1.3695819;312.8125;-28.734375;5.046875;
1.379568;312.57813;-28.75;4.90625;
1.3896719;312.15625;-30.09375;4.03125;
1.39966;311.78125;-30.265625;4.703125;
1.40974;311.35938;-30.8125;4.390625;
1.419836;315.46875;-26.65625;10.578125;
1.4299259;315.34375;-27.921875;8.3125;
1.440034;310.95313;-28.875;3.84375;
1.4512969;310.53125;-28.96875;1.40625;
1.461943;310.26563;-28.0;2.1875;
1.471601;310.10938;-27.375;3.40625;
1.481666;310.01563;-27.359375;4.34375;
1.491778;310.01563;-27.703125;5.65625;
1.5018499;310.04688;-28.265625;7.046875;
1.5119339;306.42188;-31.078125;3.21875;
1.5220559;306.0;-31.53125;-0.28125;
1.532156;305.90625;-28.9375;1.09375;
1.5422429;306.01563;-26.25;1.65625;
1.552294;306.32813;-23.6875;1.421875;
1.562343;306.71875;-22.203125;1.171875;
1.572444;307.10938;-21.1875;0.671875;
1.5825949;307.53125;-19.921875;0.203125;
1.59271;311.1875;-18.703125;-0.5625;
1.6027719;311.42188;-17.890625;-1.734375;
1.6144469;311.57813;-17.734375;-3.328125;
1.6243339;311.64063;-17.71875;-5.078125;
1.6341629;311.64063;-17.421875;-7.15625;
1.64419;311.5625;-17.953125;-9.078125;
1.6546129;311.40625;-18.171875;-9.875;
1.6642959;311.14063;-19.8125;-10.1875;
1.674493;310.875;-20.3125;-9.21875;
1.68458;310.64063;-20.4375;-8.140625;
1.69468;310.5;-19.359375;-7.578125;
1.704714;310.5;-17.9375;-7.171875;
1.7148029;310.57813;-17.640625;-5.546875;
1.724864;310.71875;-18.515625;-2.90625;
1.734981;310.90625;-19.15625;-0.875;
1.745085;311.15625;-19.65625;0.703125;
1.7553389;311.53125;-17.15625;0.484375;
1.765324;311.875;-15.90625;-0.171875;
1.775442;312.10938;-16.3125;-0.671875;
1.787192;312.25;-16.796875;-0.734375;
1.796592;312.32813;-17.265625;-0.5;
1.8066599;312.3125;-18.59375;0.34375;
1.8167388;312.26563;-20.796875;2.6875;
1.827076;312.17188;-22.296875;4.390625;
1.837045;312.04688;-22.90625;5.546875;
1.8471129;311.8125;-23.453125;5.484375;
1.8585749;311.5;-23.25;4.3125;
1.867872;311.14063;-23.09375;3.75;
1.8779579;306.95313;-24.3125;3.5;
1.8880409;302.65625;-27.328125;5.96875;
1.901176;297.40625;-30.84375;9.390625;
1.9114959;284.28125;-37.03125;14.25;
1.921093;271.75;-37.640625;19.09375;
1.931114;261.95313;-39.484375;17.328125;
1.9411719;268.84375;-34.5;21.0625;
1.9512409;274.15625;-33.828125;13.46875;
1.9613119;279.89063;-31.28125;11.578125;
1.9713849;289.54688;-25.21875;12.171875;
1.9814609;297.76563;-21.53125;12.890625;
