unit -> radians/second and measure the Angular speed around the X, Y and Z axis
Timestamp;x-axis;y-axis;z-axis;
0.00233;-0.843567;-0.509742;-0.168990;
0.011801;-0.845163;-0.520571;-0.121263;
0.021382;-0.764606;-0.643712;-0.031814;
0.030971;-0.650492;-0.758754;0.033947;
0.040567;-0.521272;-0.850290;0.072681;
0.050199;-0.400210;-0.915087;0.049464;
0.059993997;-0.366105;-0.928959;0.054791;
0.069653;-0.476121;-0.876265;-0.073951;
0.079252996;-0.679119;-0.707674;-0.194921;
0.088833;-0.825720;-0.404603;-0.393043;
0.098405994;-0.865657;-0.038994;-0.499117;
0.108003;-0.914214;0.153434;-0.375062;
0.117626;-0.985155;0.086867;-0.148069;
0.12720099;-0.995726;-0.089295;0.023587;
0.13678;-0.947358;-0.297741;0.117743;
0.146759;-0.856159;-0.481038;0.188664;
0.15613501;-0.756469;-0.599731;0.260916;
0.16564;-0.694021;-0.656414;0.295728;
0.17538701;-0.725659;-0.626521;0.284413;
0.184907;-0.815246;-0.547832;0.187759;
0.194215;-0.913048;-0.404947;0.048594;
0.20380999;-0.990417;-0.128718;-0.050057;
0.21367298;-0.985962;0.156167;-0.059090;
0.22314599;-0.958793;0.280322;0.046207;
0.23282498;-0.945941;0.223424;0.235110;
0.24237399;-0.922083;0.099368;0.374018;
0.251639;-0.902322;-0.026572;0.430243;
0.26123297;-0.907584;-0.110522;0.405064;
0.27082202;-0.924884;-0.172589;0.338824;
0.280635;-0.929372;-0.288603;0.230164;
0.290361;-0.887057;-0.431293;0.164666;
0.299539;-0.819954;-0.555857;0.136746;
0.309174;-0.737853;-0.663733;0.122604;
0.318896;-0.676366;-0.728015;0.111908;
0.328583;-0.709224;-0.690246;0.143391;
0.33795598;-0.852004;-0.468565;0.233529;
0.34749198;-0.920405;-0.159419;0.356989;
0.357062;-0.883743;0.019430;0.467569;
0.366637;-0.812414;0.130621;0.568262;
0.37622097;-0.784296;0.176436;0.594769;
0.385811;-0.814820;0.186280;0.548970;
0.395557;-0.870199;0.184846;0.456712;
0.40499598;-0.902555;0.198996;0.381831;
0.414575;-0.919823;0.178015;0.349624;
0.424534;-0.925638;0.140763;0.351254;
0.433956;-0.919353;0.091800;0.382574;
0.44342798;-0.892698;0.062150;0.446349;
0.452965;-0.859386;0.019670;0.510948;
0.46250898;-0.809779;-0.035509;0.585660;
0.472094;-0.762484;-0.063694;0.643865;
0.481691;-0.715227;-0.131777;0.686357;
0.491388;-0.689812;-0.262385;0.674769;
0.500879;-0.682959;-0.402983;0.609238;
0.51044196;-0.659689;-0.497261;0.563509;
0.52001697;-0.631625;-0.553710;0.542636;
0.529703;-0.605663;-0.568885;0.556365;
0.539213;-0.565988;-0.571079;0.594581;
0.54885197;-0.486729;-0.577546;0.655389;
0.558451;-0.348776;-0.581936;0.734646;
0.56799;-0.192896;-0.574436;0.795496;
0.57757497;-0.089720;-0.538320;0.837951;
0.587187;-0.024436;-0.469179;0.882765;
0.59672195;-0.003299;-0.413652;0.910429;
0.606302;-0.027002;-0.471187;0.881620;
0.615878;-0.022425;-0.599532;0.800036;
0.625497;0.034949;-0.716142;0.697079;
0.635067;0.102381;-0.785726;0.610043;
0.644649;0.155221;-0.816859;0.555560;
0.65421796;0.153716;-0.825376;0.543254;
0.663826;0.154779;-0.799472;0.580421;
0.67344695;0.201826;-0.760833;0.616766;
0.683063;0.257636;-0.721380;0.642833;
0.69262296;0.308953;-0.692077;0.652363;
0.702185;0.356440;-0.685291;0.635080;
0.711894;0.396538;-0.696426;0.598120;
0.721389;0.393216;-0.725367;0.564999;
0.730923;0.391864;-0.768493;0.505828;
0.74052995;0.433923;-0.784919;0.442281;
0.75016296;0.478021;-0.776095;0.411306;
0.75971997;0.494117;-0.767966;0.407525;
0.76931894;0.469439;-0.757221;0.454141;
0.7789509;0.432802;-0.753462;0.494952;
0.78852993;0.393649;-0.725719;0.564245;
