unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
1.382165;189.14063;-36.109375;14.796875;
1.392666;189.26563;-39.4375;16.15625;
1.407092;185.6875;-42.015625;21.09375;
1.417255;180.875;-41.640625;25.203125;
1.426706;174.28125;-39.78125;30.171875;
1.4367089;168.9375;-38.25;33.125;
1.4467769;168.60938;-37.703125;34.421875;
1.456864;168.46875;-37.46875;34.59375;
1.467014;168.53125;-37.6875;34.640625;
1.4770709;172.20313;-39.0;33.25;
1.487204;176.34375;-39.953125;32.328125;
1.497259;176.73438;-40.890625;32.28125;
1.507311;180.78125;-42.828125;32.0;
1.517421;181.17188;-44.625;31.59375;
1.52821;185.96875;-45.75;30.390625;
1.538875;191.35938;-46.28125;28.5;
1.5529389;197.78125;-45.65625;26.3125;
1.561754;204.98438;-43.921875;24.15625;
1.571377;212.04688;-42.28125;22.359375;
1.5815129;217.89063;-41.421875;20.875;
1.5915949;222.14063;-41.140625;19.984375;
1.601718;222.46875;-41.390625;19.25;
1.612038;222.79688;-42.1875;18.484375;
1.6224259;223.15625;-43.828125;16.75;
1.631943;227.32813;-44.75;14.109375;
1.641981;227.76563;-43.921875;12.484375;
1.652103;232.60938;-40.03125;13.203125;
1.662205;236.51563;-36.625;13.578125;
1.672253;236.79688;-36.46875;13.0;
1.682339;236.96875;-35.359375;14.890625;
1.6925689;237.07813;-32.84375;17.9375;
1.702561;237.125;-31.03125;20.03125;
1.712662;237.15625;-30.546875;20.375;
1.7227548;237.10938;-29.9375;21.453125;
1.733138;236.79688;-31.375;22.203125;
1.7433159;230.5;-34.59375;23.359375;
1.75347;222.375;-38.9375;25.015625;
1.763522;214.54688;-42.890625;26.21875;
1.773649;208.28125;-45.265625;27.125;
1.783756;204.3125;-46.34375;27.5;
1.793959;203.92188;-45.390625;28.59375;
1.8132509;198.60938;-43.203125;30.8125;
1.821709;193.42188;-40.125;33.453125;
1.831735;188.76563;-37.578125;35.359375;
1.8417679;188.39063;-35.765625;35.96875;
1.8518379;188.35938;-33.65625;35.34375;
1.8619989;194.46875;-31.75;33.453125;
1.8728689;201.0625;-30.21875;32.90625;
1.8821919;201.35938;-29.8125;33.5;
1.892404;201.5;-29.09375;34.359375;
1.9022909;201.17188;-29.421875;35.03125;
1.912365;191.75;-30.8125;36.25;
1.922519;177.96875;-31.71875;38.625;
1.932588;164.96875;-32.75;40.96875;
1.942689;155.70313;-33.78125;42.46875;
1.9527869;149.48438;-34.703125;43.6875;
1.9628679;145.28125;-34.171875;43.828125;
1.973467;139.6875;-32.25;44.953125;
1.983627;139.48438;-35.671875;46.046875;
1.9940159;139.42188;-38.28125;46.15625;
2.004119;139.32813;-38.265625;45.890625;
2.013865;139.0625;-37.53125;46.34375;
2.0239608;133.4375;-35.34375;48.0;
2.034092;125.6875;-32.21875;50.890625;
2.0443769;116.46875;-28.875;54.203125;
2.054359;107.0;-25.59375;56.671875;
2.064405;98.53125;-22.40625;60.859375;
2.074478;92.1875;-20.484375;63.5625;
2.084596;87.921875;-19.1875;65.859375;
2.094671;87.5625;-18.359375;67.25;
2.1047819;87.21875;-18.15625;67.796875;
2.115942;86.84375;-17.96875;67.6875;
2.125403;86.4375;-17.703125;67.625;
2.135319;86.03125;-17.4375;67.671875;
2.1456208;85.671875;-17.859375;66.625;
2.155596;85.4375;-18.984375;64.375;
2.165588;85.359375;-20.34375;61.75;
2.176271;85.34375;-21.421875;57.859375;
2.185988;85.40625;-22.609375;52.984375;
2.1959198;85.53125;-23.484375;48.96875;
2.205909;85.796875;-24.21875;44.828125;
2.2161028;85.890625;-23.875;41.453125;
2.225973;85.6875;-23.296875;39.59375;
2.2361908;85.578125;-22.90625;38.859375;
2.24641;89.265625;-22.90625;39.78125;
2.256192;94.296875;-22.78125;41.578125;
2.2662997;100.296875;-23.015625;43.921875;
2.2765198;105.890625;-23.546875;45.875;
2.286648;110.828125;-24.09375;47.375;
2.296628;116.59375;-25.078125;48.078125;
2.306707;121.8125;-25.703125;48.390625;
2.316739;127.15625;-26.515625;48.3125;
2.326835;132.67188;-27.75;48.28125;
2.337027;138.1875;-29.09375;48.015625;
2.3470771;143.4375;-30.421875;47.65625;
2.357277;147.70313;-31.296875;47.625;
2.3684537;151.65625;-32.40625;47.40625;
2.3773859;151.89063;-33.03125;48.46875;
2.389171;156.34375;-34.421875;47.28125;
2.398995;160.32813;-35.75;46.59375;
2.408707;164.0625;-36.21875;45.96875;
2.4187908;168.53125;-36.5625;44.765625;
2.428836;175.28125;-37.859375;41.859375;
2.439439;183.3125;-39.59375;38.578125;
2.449075;190.07813;-38.5;37.515625;
2.4597719;195.64063;-43.203125;34.46875;
2.469913;195.98438;-46.34375;33.75;
2.4794507;196.375;-46.34375;33.75;
2.489496;196.67188;-49.09375;33.40625;
2.499544;196.82813;-51.25;33.796875;
2.509621;196.82813;-52.921875;34.390625;
2.5199258;196.8125;-54.15625;34.0625;
2.5299828;196.875;-54.921875;33.421875;
2.539996;197.125;-55.28125;32.328125;
2.550046;201.04688;-55.015625;30.90625;
2.5600948;205.07813;-53.828125;29.75;
2.5702;209.26563;-51.0;29.078125;
2.581998;213.76563;-48.546875;27.828125;
2.591116;218.15625;-45.875;26.9375;
2.6006148;222.76563;-44.265625;25.125;
2.610719;223.15625;-45.546875;23.421875;
2.620797;223.53125;-46.5;22.890625;
2.630889;223.95313;-46.1875;22.625;
2.640974;224.39063;-44.90625;22.921875;
2.651236;228.09375;-42.78125;23.875;
2.6613219;228.4375;-40.015625;24.859375;
2.671336;228.82813;-38.484375;25.28125;
