unit -> radians/second and measure the Angular speed around the X, Y and Z axis
Timestamp;x-axis;y-axis;z-axis;
0.0;-0.867574;-0.491350;-0.076750;
0.009281;-0.831101;-0.544841;-0.111445;
0.018586999;-0.815354;-0.566566;-0.119167;
0.027924;-0.805540;-0.580042;-0.121064;
0.037205998;-0.794506;-0.596362;-0.114512;
0.046536;-0.775391;-0.622906;-0.103715;
0.055843998;-0.756993;-0.645722;-0.100025;
0.065157995;-0.747998;-0.657594;-0.089829;
0.07447;-0.760775;-0.645320;-0.069161;
0.084017;-0.786422;-0.615693;-0.049618;
0.093251996;-0.800838;-0.598532;-0.020440;
0.102511995;-0.826722;-0.562602;-0.003077;
0.111825;-0.854749;-0.518846;0.014229;
0.121125;-0.890325;-0.454986;0.017579;
0.130404;-0.925287;-0.377406;0.037526;
0.139764;-0.952812;-0.295238;0.070600;
0.14919299;-0.967751;-0.228310;0.106459;
0.158379;-0.968054;-0.204182;0.145534;
0.16785298;-0.944162;-0.251184;0.213224;
0.177387;-0.913308;-0.308438;0.265958;
0.186308;-0.920023;-0.314128;0.234265;
0.195622;-0.959917;-0.257203;0.111378;
0.20493;-0.978743;-0.197374;-0.055729;
0.21422099;-0.976467;-0.105476;-0.188117;
0.223536;-0.958659;0.037097;-0.282131;
0.232863;-0.927495;0.191979;-0.320776;
0.242174;-0.891206;0.324137;-0.317313;
0.25153598;-0.854661;0.420169;-0.304980;
0.260859;-0.821118;0.480885;-0.307433;
0.270223;-0.797247;0.516630;-0.312236;
0.279439;-0.753453;0.561197;-0.342588;
0.288761;-0.714986;0.574374;-0.398609;
0.298076;-0.675230;0.596056;-0.434490;
0.307639;-0.647575;0.618333;-0.445322;
0.316718;-0.652440;0.636001;-0.412097;
0.326022;-0.677145;0.648364;-0.347992;
0.335308;-0.697592;0.648244;-0.305197;
0.344686;-0.719178;0.635141;-0.281744;
0.353955;-0.730066;0.627313;-0.271076;
0.36331;-0.741252;0.611334;-0.277157;
0.37269402;-0.760812;0.576159;-0.298674;
0.38193798;-0.778429;0.539317;-0.321225;
0.39122;-0.786737;0.508476;-0.349995;
0.400796;-0.786679;0.500805;-0.361013;
0.40987298;-0.762007;0.545014;-0.349720;
0.419247;-0.715823;0.632252;-0.296405;
0.42848998;-0.669928;0.714530;-0.201603;
0.437883;-0.578550;0.809092;-0.103195;
0.447155;-0.388007;0.914587;-0.113938;
0.45654097;-0.127324;0.934652;-0.331985;
0.465742;-0.150580;0.809563;-0.567392;
0.47506398;-0.453036;0.659958;-0.599345;
0.484392;-0.690281;0.481707;-0.539881;
0.49378398;-0.809858;0.342031;-0.476597;
0.503095;-0.819835;0.372990;-0.434453;
0.51238096;-0.791531;0.462801;-0.399117;
0.521795;-0.742018;0.558902;-0.370186;
0.53099597;-0.467828;0.840872;-0.272161;
0.54029495;0.509457;0.848710;0.141932;
0.54959;0.842793;0.461716;0.276621;
0.55890596;0.920638;0.243273;0.305359;
0.568235;0.942763;0.083777;0.322769;
0.577549;0.944872;-0.030182;0.326045;
0.586902;0.933204;-0.148879;0.327055;
0.596224;0.899956;-0.287490;0.327763;
0.60551894;0.822915;-0.449808;0.347106;
