unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.001249;-0.313268;6.3334618;6.810174;
0.011341999;-0.3677494;6.3198414;6.701211;
0.021404;-0.44947147;6.2789803;6.5922484;
0.031501;-0.53119355;6.183638;6.5650077;
0.042262;-0.5992953;6.115536;6.578628;
0.051735;-0.6810174;6.0610547;6.5650077;
0.061789;-0.7627395;6.0201936;6.605869;
0.071848;-0.9125633;5.965712;6.6467295;
0.081934;-0.9670447;5.965712;6.67397;
0.092172;-0.9670447;6.033814;6.7965536;
0.105928;-0.9670447;6.0882955;6.932757;
0.115894;-0.9670447;6.1563973;7.096201;
0.126259;-0.9125633;6.197258;7.327747;
0.135981;-0.8580819;6.26536;7.4503303;
0.14619799;-0.7899802;6.3198414;7.4639506;
0.15613298;-0.7491191;6.3198414;7.504812;
0.16621101;-0.6537767;6.3607025;7.4639506;
0.17650099;-0.61291564;6.469665;7.4503303;
0.191588;-0.55843425;6.5513873;7.518432;
0.200925;-0.51757324;6.66035;7.5865335;
0.212587;-0.54481393;6.6875906;7.4911914;
0.22117199;-0.61291564;6.6875906;7.4639506;
0.231252;-0.7354988;6.66035;7.4639506;
0.24144499;-0.81722087;6.605869;7.559293;
0.25191998;-0.84446156;6.5241466;7.668256;
0.262067;-0.8308412;6.469665;7.7772183;
0.271677;-0.8308412;6.4424243;7.8589406;
0.281699;-0.87170225;6.4424243;7.954283;
0.291784;-0.939804;6.3879433;7.8998017;
0.301867;-1.0215261;6.347082;7.9679036;
0.31212;-1.0623871;6.2517395;7.8861814;
0.32215598;-1.1168685;6.197258;7.8589406;
0.33218202;-1.0896279;6.197258;7.9679036;
0.34267;-1.0215261;6.2244987;8.144968;
0.352766;-0.92618364;6.2789803;8.335652;
0.36364898;-0.89894295;6.347082;8.553578;
0.37303698;-0.88532263;6.3198414;8.880466;
0.38346097;-0.9125633;6.2517395;9.2073555;
0.39357796;-0.9125633;6.1700177;9.575105;
0.40385598;-0.9942854;6.0201936;9.79303;
0.413859;-1.0623871;5.829509;9.861132;
0.42396498;-0.9942854;5.7205462;9.956474;
0.439638;-0.8036005;5.7886477;10.160779;
0.44877198;-0.53119355;5.938472;10.269742;
0.464175;-0.35412905;6.4015636;10.58301;
0.47281098;-0.40861043;6.2517395;10.732834;
0.482887;-0.40861043;6.2517395;11.195926;
0.493037;-0.7218784;6.197258;11.318509;
0.504362;-1.1577295;5.5571017;12.476238;
0.513613;-1.1577295;5.5571017;13.089154;
0.523578;-1.4709976;4.8488436;13.021052;
0.53363;-1.7706453;4.385752;13.157256;
0.543722;-1.8115063;4.0588636;12.6669235;
0.553894;-1.7978859;3.7319753;11.590916;
0.563944;-1.7706453;3.5821514;10.501288;
0.574028;-1.7161638;3.636633;9.384419;
0.584118;-1.7161638;3.7728362;8.430995;
0.59505;-1.7025435;3.9635212;7.804459;
0.604342;-1.7297841;4.0588636;7.4503303;
0.616497;-1.6616824;4.004382;7.4503303;
0.625645;-1.6616824;4.004382;7.4503303;
0.635635;-1.6480621;4.004382;7.8589406;
0.64558;-1.6344417;3.9771416;8.512717;
0.6556789;-1.4982382;3.8954194;8.975809;
0.666012;-1.3211738;3.7455957;9.343558;
0.675981;-1.1849703;3.5821514;9.41166;
0.686153;-1.1032481;3.486809;9.220976;
0.700197;-1.3211738;3.5004294;7.995144;
0.709282;-1.5118586;3.5276701;7.2324047;
0.723001;-1.6753027;3.4731886;6.769313;
0.731349;-1.7570249;3.5412905;6.428804;
0.74149495;-1.8387469;3.636633;6.2244987;
0.75158095;-1.879608;3.6911142;6.074675;
0.76163995;-1.8932283;3.7047346;6.0474343;
0.771759;-1.9885708;3.6911142;6.1291566;
0.782012;-2.0566726;3.7047346;6.197258;
0.793131;-2.070293;3.7728362;6.1291566;
0.802808;-1.9885708;3.8545585;6.033814;
0.815331;-1.879608;4.031623;6.0882955;
0.823673;-1.7570249;4.099725;6.0474343;
0.835942;-1.56634;4.1269655;6.1291566;
0.84424496;-1.4028958;4.1542063;6.26536;
0.85436404;-1.4301366;4.1542063;6.496906;
0.864449;-1.525479;4.195067;6.769313;
0.874527;-1.484618;4.2495484;6.932757;
0.886504;-1.4165162;4.3176503;7.096201;
0.89592195;-1.2803127;4.372132;7.1915436;
0.905889;-1.1441092;4.4810944;7.368608;
0.915883;-1.0623871;4.535576;7.600154;
0.926014;-0.92618364;4.576437;7.749978;
0.93608993;-0.7763598;4.576437;7.7363577;
0.94682497;-0.6946377;4.630918;7.709117;
0.95634997;-0.6401563;4.69902;7.7227373;
0.966321;-0.5720546;4.767122;7.749978;
0.9764149;-0.46309182;4.739881;7.8317;
0.98649794;-0.27240697;4.69902;8.131348;
0.997161;0.040861044;4.671779;8.580819;
1.012622;0.35412905;4.4810944;9.084772;
1.021256;0.6810174;4.2086873;9.697687;
1.031245;0.95342433;3.9635212;10.092678;
1.041347;1.1849703;3.800077;10.487668;
1.0515679;1.5799603;3.6502533;10.800936;
1.0632359;2.1247742;3.4595683;11.005241;
1.071752;2.7921712;3.2825038;11.264028;
1.081878;3.568531;3.255263;11.631777;
1.0918219;4.2223077;3.445948;12.013146;
1.1019679;4.7262607;3.6638734;12.489859;
1.112305;4.930566;3.7728362;13.075534;
1.122065;4.767122;3.6774938;13.851893;
1.1321379;4.276789;3.486809;14.451189;
1.14221;3.6093922;3.173541;14.464809;
1.152347;3.2825038;2.8330324;13.933616;
1.162578;3.800077;2.6014864;13.102775;
1.1725869;4.2904096;2.587866;11.876944;
1.1835079;4.671779;2.7240696;10.351464;
1.19286;3.7864566;3.214402;8.281172;
1.2029419;-0.35412905;4.508335;6.197258;
1.212941;1.4573772;3.568531;6.537767;
1.223511;2.6832085;3.445948;6.851035;
1.233614;2.9556155;3.7864566;6.67397;
1.243743;3.2825038;3.7047346;6.5513873;
1.253793;3.2825038;3.6911142;6.4151835;
1.26413;3.2007818;3.7047346;6.197258;
1.274177;2.9556155;3.6230125;5.448139;
1.2842549;2.4108016;3.6093922;4.4810944;
1.303226;1.96133;3.13268;2.9556155;
1.3115549;1.96133;3.13268;2.9556155;
1.3216839;1.607201;2.2473574;2.8057916;
1.333427;1.5118586;2.1247742;2.7649305;
1.3427339;1.5118586;2.1247742;2.7649305;
1.352044;1.0896279;2.3971813;3.0237172;
1.3620149;0.8580819;2.4789033;3.214402;
1.372096;1.0215261;2.465283;3.3233647;
1.382165;1.0623871;2.4516625;3.1871614;
1.392666;1.1577295;2.6423476;2.9964764;
1.407092;1.9749504;3.6774938;3.568531;
1.417255;2.7649305;4.3176503;3.990762;
1.426706;3.7455957;4.767122;4.3312707;
1.4367089;4.576437;5.1893525;4.7262607;
1.4467769;5.298315;5.7341666;5.1893525;
1.456864;5.7477865;6.1563973;5.611583;
1.467014;6.2517395;6.7284517;6.0610547;
1.4770709;6.5513873;7.518432;6.578628;
1.487204;6.9872384;8.390134;7.177923;
1.497259;7.504812;9.193735;7.518432;
1.507311;7.84532;10.065437;7.504812;
1.517421;7.9270425;10.623871;7.286886;
1.52821;7.559293;10.705593;7.1915436;
1.538875;7.04172;10.664732;7.3822284;
1.5529389;6.4560447;10.419566;7.872561;
1.561754;5.992953;10.160779;8.676162;
1.571377;5.597963;9.901993;9.343558;
1.5815129;5.1893525;9.629586;9.602345;
1.5915949;4.8760843;9.384419;9.575105;
1.601718;4.6036777;9.234595;9.41166;
1.612038;4.2495484;9.00305;8.975809;
1.6224259;3.6502533;8.771504;8.3765135;
1.631943;2.9556155;8.539958;8.090487;
1.641981;2.6014864;8.349273;8.267551;
1.652103;2.7785509;7.8317;8.894087;
1.662205;3.0373375;7.709117;9.915613;
1.672253;3.2961242;8.7034025;11.304889;
1.682339;4.031623;9.084772;12.14935;
1.6925689;4.903325;8.635301;12.4489975;
1.702561;5.3800373;8.090487;12.326415;
1.712662;5.1893525;7.572913;11.74074;
1.7227548;4.9850473;6.7965536;10.705593;
1.733138;4.658159;6.4151835;9.438901;
1.7433159;4.385752;6.2789803;7.981524;
1.75347;4.2223077;6.2789803;6.5241466;
1.763522;4.1814466;6.4424243;5.529861;
1.773649;4.2086873;6.5513873;4.944186;
1.783756;4.1542063;6.510526;4.6172976;
1.793959;4.2223077;6.2789803;4.535576;
1.8132509;4.4947147;6.006573;4.5491962;
1.821709;4.903325;5.7341666;4.7126403;
1.831735;5.298315;5.5843425;4.9578066;
1.8417679;5.47538;5.448139;5.2165933;
1.8518379;5.5434813;5.3119354;5.7341666;
1.8619989;5.2165933;4.9850473;6.1291566;
1.8728689;4.9986677;4.630918;6.183638;
1.8821919;4.7943625;4.3176503;5.8158884;
1.892404;4.5491962;3.92266;5.3800373;
1.9022909;4.344891;3.718355;4.9578066;
1.912365;4.2904096;3.718355;4.5219555;
1.922519;4.4129925;3.718355;4.0861044;
1.932588;4.508335;3.718355;3.6230125;
1.942689;4.399372;3.6230125;3.1599207;
1.9527869;4.1814466;3.445948;2.6968288;
1.9628679;3.8954194;3.1599207;2.547005;
1.973467;3.7864566;2.8602731;2.4925237;
1.983627;3.5140498;2.8466527;1.8387469;
1.9940159;3.3914666;2.9147544;1.4573772;
2.004119;3.4731886;2.9964764;1.5390993;
2.013865;3.7047346;3.1190596;1.6616824;
2.0239608;4.1814466;3.255263;1.8932283;
2.034092;4.7943625;3.2961242;2.083913;
2.0443769;5.4208984;3.2280223;2.2064962;
2.054359;6.0610547;3.13268;2.465283;
2.064405;6.67397;2.9147544;2.315459;
2.074478;7.000859;2.73769;2.152015;
2.084596;7.600154;2.73769;2.0294318;
2.094671;8.335652;2.8466527;2.0294318;
2.1047819;8.785124;2.9556155;2.0294318;
2.115942;9.057531;3.0237172;2.1656353;
2.125403;9.39804;3.091819;2.3290794;
2.135319;9.833891;3.1871614;2.4789033;
2.1456208;10.310603;3.445948;2.8330324;
2.155596;10.7192135;3.8681788;3.3914666;
2.165588;10.9371395;4.3176503;3.990762;
2.176271;10.773695;4.6445384;4.9169455;
2.185988;10.392325;4.9986677;6.033814;
2.1959198;9.956474;5.2574544;6.891896;
2.205909;9.248216;5.3800373;7.5865335;
2.2161028;8.689782;5.3119354;8.281172;
2.225973;8.322033;5.1621118;8.635301;
2.2361908;8.036005;4.9850473;8.635301;
2.24641;7.9270425;4.8216033;8.21307;
2.256192;7.981524;4.658159;7.6954966;
2.2662997;8.185829;4.6172976;7.137062;
2.2765198;8.417375;4.6853995;6.6875906;
2.286648;8.62168;4.780742;6.3334618;
2.296628;8.853226;5.039529;6.142777;
2.306707;9.112013;5.284695;6.1291566;
2.316739;9.316318;5.570722;6.1563973;
2.326835;9.452521;5.8976107;6.0201936;
2.337027;9.41166;6.1563973;5.8158884;
2.3470771;9.084772;6.2244987;5.4617596;
2.357277;8.5944395;6.0474343;4.9986677;
2.3684537;7.8589406;5.7205462;4.4129925;
2.3773859;7.8589406;5.7205462;3.9635212;
2.389171;6.3198414;4.862464;3.2280223;
2.398995;5.5571017;4.467474;2.7649305;
2.408707;4.8897047;4.0180025;2.4925237;
2.4187908;4.344891;3.6774938;2.383561;
2.428836;3.92266;3.6093922;2.4789033;
2.439439;3.6774938;3.759216;2.669588;
2.449075;3.6774938;3.759216;2.969236;
2.4597719;3.7728362;4.5628166;3.0645783;
2.469913;4.004382;5.2165933;2.9556155;
2.4794507;4.004382;5.2165933;2.9556155;
2.489496;4.276789;5.87037;2.7513103;
2.499544;4.6445384;6.510526;2.3971813;
2.509621;4.9986677;7.0553403;1.8659877;
2.5199258;5.2574544;7.6137743;1.607201;
2.5299828;5.47538;8.131348;1.6344417;
2.539996;5.597963;8.60806;2.0566726;
2.550046;5.706926;9.0983925;2.8330324;
2.5600948;5.829509;9.479762;3.759216;
2.5702;6.074675;9.711308;4.9986677;
2.581998;6.2108784;9.970095;6.238119;
2.591116;6.3334618;10.038197;7.3958488;
2.6006148;6.142777;10.092678;8.335652;
2.610719;5.87037;10.54215;8.512717;
2.620797;5.7750273;10.773695;8.430995;
2.630889;5.7750273;10.8281765;8.635301;
2.640974;6.006573;10.882658;9.125633;
2.651236;6.374323;10.691973;9.643207;
2.6613219;6.5650077;10.038197;9.997335;
2.671336;6.4015636;9.329938;9.833891;
2.681412;6.0201936;8.812365;9.248216;
2.693804;5.5434813;8.676162;8.444615;
2.7029848;5.298315;8.676162;7.940663;
2.712388;5.09401;9.01667;7.981524;
2.7224429;5.053149;9.289077;8.308413;
2.732682;5.366417;9.030291;8.635301;
2.742702;5.87037;8.730643;8.60806;
2.7528129;5.992953;8.117727;7.995144;
2.762863;5.7341666;7.286886;7.2187843;
2.773057;5.1484914;6.4424243;6.769313;
2.7837229;4.0452433;5.911231;6.701211;
2.793722;5.0259085;5.7341666;6.4832854;
2.8044999;4.903325;5.597963;7.2596455;
2.814622;5.7341666;5.053149;7.913422;
2.823974;6.67397;4.971427;7.6137743;
2.834052;7.014479;5.3527966;6.973618;
2.8441129;7.0280995;5.1893525;5.9248514;
2.854191;6.4151835;4.8352237;4.69902;
2.864353;5.8158884;4.5491962;3.718355;
2.874364;5.4890003;4.399372;3.1599207;
2.8844328;5.243834;4.3176503;2.669588;
2.894508;5.243834;4.1542063;2.2609777;
2.9046469;5.284695;4.4538536;1.607201;
2.914723;4.944186;3.8954194;1.4437568;
2.926393;4.576437;3.0645783;1.3892754;
2.935068;4.276789;3.0373375;2.2064962;
2.94553;4.7943625;2.6287272;1.6753027;
2.955578;4.385752;2.1656353;1.253072;
2.9659698;4.3176503;1.7297841;0.7354988;
2.975631;4.440233;1.4709976;0.23154591;
2.985664;4.6036777;1.2394516;0.06810174;
2.996202;4.739881;0.9125633;-0.095342435;
3.005999;5.012288;0.50395286;-0.32688835;
3.01595;5.2165933;0.23154591;-0.47671217;
3.026217;5.5843425;0.095342435;-0.7354988;
3.0383947;5.992953;0.05448139;-0.7627395;
3.04778;6.5922484;0.2860273;-0.667397;
3.0573177;7.1915436;0.6810174;-0.47671217;
3.0670488;7.954283;1.1849703;-0.47671217;
3.077154;8.894087;1.5799603;0.58567494;
3.087205;9.861132;1.7978859;1.0215261;
3.09728;10.814556;1.9749504;1.4165162;
3.1074119;11.672638;2.2201166;1.7025435;
3.117548;12.353656;2.506144;1.9340894;
3.127626;12.6669235;2.6423476;2.0430522;
3.137693;12.6669235;2.6423476;2.2201166;
3.147771;12.571581;2.5197644;2.5197644;
3.1585338;12.462618;2.2882185;2.8330324;
3.169006;12.421757;1.879608;3.0645783;
3.178655;12.380896;1.4301366;3.3097446;
3.188144;12.217452;1.1441092;3.4731886;
3.1981838;11.972285;0.9942854;3.8136973;
3.2082999;11.618156;1.0215261;4.195067;
3.2183878;11.127824;1.1577295;4.5491962;
3.2284641;10.623871;1.4301366;5.053149;
3.2385478;10.160779;1.6208214;5.3800373;
3.2486567;9.724928;1.6753027;5.611583;
3.2587671;9.425281;1.525479;5.802268;
3.2688239;9.357179;1.334794;5.938472;
