unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.008384;-1.5035586;3.41892;9.193734;
0.018511;-1.4556746;3.3518825;9.011775;
0.028594999;-1.4269443;3.371036;8.8777;
0.040647;-1.3503298;3.3901896;8.868123;
0.051046997;-1.3311762;3.4476504;8.848969;
0.060974;-1.2641385;3.3901896;8.8777;
0.071692;-1.2162545;3.3135753;8.944737;
0.082019;-1.2066777;3.2465374;9.040505;
0.092571996;-1.2449849;3.1794999;9.203311;
0.103203;-1.3024458;3.1603463;9.356541;
0.114257;-1.4269443;3.1603463;9.490616;
0.12417299;-1.5227122;3.1603463;9.461885;
0.133322;-1.5227122;3.1603463;9.461885;
0.14339;-1.5801731;3.217807;9.452309;
0.15401399;-1.5801731;3.3039982;9.385271;
0.16433299;-1.5801731;3.4955344;9.126697;
0.173971;-1.5801731;3.4955344;9.126697;
0.183667;-1.5993267;3.5529952;9.030929;
0.19378701;-1.6376339;3.572149;8.963891;
0.204267;-1.6663644;3.5625722;8.992621;
0.213864;-1.6567876;3.5434184;9.059659;
0.22396499;-1.6663644;3.5051112;9.165004;
0.234036;-1.6184803;3.3997664;9.136273;
0.24417399;-1.541866;3.3518825;9.088389;
0.254298;-1.4939818;3.2944214;9.088389;
0.265909;-1.340753;3.2465374;9.050082;
0.275192;-1.340753;3.2465374;9.050082;
0.285323;-1.2545617;3.2273839;9.021352;
0.29537797;-1.1875241;3.2561142;8.983045;
0.305468;-1.1683705;3.1603463;9.059659;
0.31548798;-1.1683705;3.169923;9.14585;
0.32556;-1.2449849;3.1986535;9.251195;
0.335737;-1.292869;3.1986535;9.3182335;
0.346436;-1.4269443;3.1316159;9.299079;
0.35625198;-1.4269443;3.1316159;9.299079;
0.367952;-1.532289;3.1603463;9.184157;
0.377901;-1.6184803;3.3806129;9.050082;
0.38793796;-1.6567876;3.4093432;8.963891;
0.39760098;-1.7621324;3.4476504;8.896853;
0.407807;-1.7908629;3.514688;8.954314;
0.41793197;-1.7812861;3.5625722;9.002198;
0.429022;-1.6950948;3.5625722;9.030929;
0.43827698;-1.6567876;3.5338416;8.944737;
0.448104;-1.5514427;3.5529952;8.90643;
0.458181;-1.4748282;3.5242648;8.896853;
0.46831697;-1.4077905;3.466804;8.90643;
0.47851697;-1.3120226;3.3997664;8.925584;
0.48865798;-1.2354081;3.3614593;9.069236;
0.49866596;-1.1971009;3.3327289;9.203311;
0.50860995;-1.1683705;3.323152;9.184157;
0.518663;-1.1683705;3.3518825;9.203311;
0.52878296;-1.2066777;3.2944214;9.155427;
0.53884;-1.2545617;3.3327289;9.184157;
0.54965097;-1.2641385;3.2752678;9.308656;
0.559214;-1.340753;3.2848446;9.433155;
0.569262;-1.436521;3.3614593;9.471462;
0.5794;-1.484405;3.41892;9.519346;
0.589386;-1.532289;3.3901896;9.442732;
0.599741;-1.5897499;3.3806129;9.461885;
0.609603;-1.6280571;3.3806129;9.481039;
0.620456;-1.6567876;3.41892;9.3661175;
0.62974596;-1.7046716;3.4476504;9.260772;
0.639821;-1.7238252;3.4476504;9.14585;
0.649957;-1.7429788;3.3997664;9.107543;
0.660259;-1.7717092;3.466804;9.126697;
0.670496;-1.7908629;3.5242648;9.097966;
0.680318;-1.8100165;3.5817258;9.088389;
0.691038;-1.7908629;3.572149;8.973468;
0.70131093;-1.7525556;3.4955344;8.8777;
0.711419;-1.7717092;3.3518825;8.8777;
0.721522;-1.8291701;3.323152;8.944737;
0.731611;-1.7812861;3.2369606;9.088389;
0.742136;-1.8004397;3.1986535;9.11712;
0.751916;-1.7908629;3.122039;9.11712;
0.76246697;-1.733402;3.1316159;9.030929;
0.77248496;-1.685518;3.1028855;8.983045;
0.782424;-1.6472107;3.0550013;8.839393;
0.79243094;-1.6567876;3.074155;8.801085;
0.80260694;-1.6472107;3.1028855;8.695741;
0.812497;-1.6663644;3.1507695;8.6095495;
0.82433295;-1.6280571;3.2369606;8.599973;
0.833302;-1.6567876;3.3518825;8.6574335;
0.843212;-1.7142484;3.3901896;8.7532015;
0.853273;-1.7429788;3.5051112;8.963891;
0.86340195;-1.7812861;3.6008794;9.136273;
0.873699;-1.8483237;3.6391866;9.3661175;
0.8837699;-1.8866309;3.6966474;9.576807;
0.893651;-1.8579005;3.6870706;9.749189;
0.903779;-1.8674773;3.6487634;9.854534;
0.913726;-1.8674773;3.5242648;9.864111;
0.92379797;-1.8291701;3.4380736;9.758766;
0.933926;-1.7908629;3.371036;9.739613;
0.94424796;-1.7238252;3.265691;9.768343;
0.95423996;-1.6950948;3.2465374;9.749189;
0.964172;-1.685518;3.1890767;9.787497;
0.97426593;-1.6950948;3.1028855;9.825804;
0.984358;-1.7142484;3.0071173;9.892841;
0.99443495;-1.7525556;2.9400797;9.854534;
1.004619;-1.7238252;2.930503;9.835381;
1.0146329;-1.7046716;2.8921957;9.701305;
1.024851;-1.7238252;2.8538885;9.509769;
1.0353299;-1.7238252;2.777274;9.414001;
1.045159;-1.7525556;2.6623523;9.308656;
1.054999;-1.733402;2.585738;9.155427;
1.065076;-1.6950948;2.5570073;8.992621;
1.075181;-1.685518;2.6144683;8.90643;
1.085281;-1.6759412;2.6719291;8.801085;
1.095673;-1.5897499;2.7581203;8.686164;
1.105711;-1.5705963;2.834735;8.619126;
1.115864;-1.5801731;2.9017725;8.686164;
1.126044;-1.5514427;2.9783869;8.762778;
1.136127;-1.4748282;3.064578;8.628703;
1.1464839;-1.5993267;3.1411927;8.647857;
1.156277;-1.6663644;3.2369606;8.810662;
1.1662059;-1.685518;3.3327289;9.021352;
1.1777699;-1.7621324;3.3614593;9.203311;
1.187829;-1.7238252;3.3997664;9.3182335;
1.198054;-1.7621324;3.3997664;9.346964;
1.208054;-1.7429788;3.4763808;9.299079;
1.218236;-1.6950948;3.466804;9.241618;
1.2282879;-1.6472107;3.4955344;9.14585;
1.239193;-1.5801731;3.5051112;9.078813;
1.2484139;-1.532289;3.4859576;9.040505;
1.258554;-1.5131354;3.4859576;9.021352;
1.268397;-1.5227122;3.4476504;8.983045;
1.278708;-1.5035586;3.4284968;9.030929;
1.28878;-1.4939818;3.3614593;9.088389;
1.2987239;-1.484405;3.3806129;9.078813;
1.309822;-1.4748282;3.3614593;9.040505;
1.319148;-1.484405;3.323152;9.050082;
1.3294879;-1.4939818;3.3518825;8.973468;
1.339735;-1.4652514;3.4093432;8.839393;
1.3496349;-1.484405;3.3997664;8.848969;
1.359709;-1.4652514;3.3806129;8.829816;
1.370034;-1.4556746;3.3518825;8.829816;
1.379998;-1.4269443;3.3614593;8.829816;
1.390587;-1.4652514;3.3614593;8.772355;
1.3999499;-1.5035586;3.3614593;8.724471;
1.410407;-1.4652514;3.3997664;8.810662;
1.420247;-1.5035586;3.4763808;8.848969;
1.4302869;-1.5705963;3.5338416;8.963891;
1.4406999;-1.6376339;3.5913026;9.155427;
1.4509809;-1.6759412;3.6104562;9.14585;
1.460999;-1.6950948;3.5817258;9.021352;
1.471558;-1.6567876;3.5338416;9.021352;
1.481072;-1.6472107;3.5529952;8.963891;
1.491355;-1.6472107;3.5817258;8.973468;
1.5013549;-1.6759412;3.6391866;9.078813;
1.511403;-1.7238252;3.6774938;9.14585;
1.5218719;-1.7238252;3.7541082;9.165004;
1.5314909;-1.7525556;3.8498764;9.212888;
1.541567;-1.7908629;3.8498764;9.059659;
1.551638;-1.8291701;3.8019924;8.992621;
1.562174;-1.7717092;3.7828386;8.992621;
1.5726229;-1.8579005;3.7541082;9.050082;
1.5825689;-1.9057846;3.7924154;9.126697;
1.592604;-1.8962077;3.7924154;9.097966;
1.602551;-1.9153614;3.7828386;9.11712;
1.61263;-1.8674773;3.7253778;9.136273;
1.622705;-1.7908629;3.6966474;9.107543;
1.632885;-1.733402;3.6391866;9.030929;
1.642838;-1.6567876;3.5817258;8.916007;
1.6528649;-1.6089035;3.5242648;8.963891;
1.6629629;-1.6280571;3.4476504;9.050082;
1.673353;-1.6184803;3.4763808;9.11712;
1.683263;-1.6184803;3.514688;9.165004;
1.6933479;-1.6472107;3.5434184;9.155427;
1.703661;-1.5993267;3.572149;9.059659;
1.713354;-1.541866;3.5817258;9.069236;
1.723506;-1.5131354;3.572149;9.050082;
1.733538;-1.4460979;3.6774938;9.011775;
1.7435919;-1.2641385;3.7253778;9.030929;
1.7540629;-1.2258313;3.6583402;8.983045;
1.7637309;-1.1587936;3.6104562;9.040505;
1.773867;-1.2162545;3.6391866;9.174581;
1.7839179;-1.2162545;3.7253778;9.11712;
1.793991;-1.2545617;3.7828386;9.136273;
1.804162;-1.2641385;3.7732618;9.059659;
1.814204;-1.3120226;3.6774938;9.174581;
1.8243729;-1.340753;3.41892;9.346964;
1.83469;-1.4652514;3.2465374;9.442732;
1.8447659;-1.532289;3.265691;9.337387;
1.8545909;-1.5993267;3.41892;9.5385;
1.864708;-1.6759412;3.5529952;9.643845;
