unit -> radians/second and measure the Angular speed around the X, Y and Z axis
Timestamp;x-axis;y-axis;z-axis;
0.0018879999;-0.210683;-0.871702;0.442435;
0.0068559996;0.005192;-0.066279;0.046731;
0.011907;0.026573;-0.053145;0.043066;
0.016888;0.048564;-0.039706;0.031460;
0.021866;0.053145;-0.024740;0.030238;
0.026871;0.053451;-0.024435;0.018326;
0.031886;0.039095;-0.032070;0.023213;
0.037892;0.022297;-0.042455;0.027184;
0.041927;0.003971;-0.062003;0.030238;
0.046910997;-0.019242;-0.081551;0.039401;
0.051882;-0.429740;-0.835438;0.342590;
0.056879997;-0.576267;-0.744007;0.338185;
0.062527;-0.677843;-0.666450;0.310441;
0.066911995;-0.071166;-0.063530;0.028711;
0.072048;-0.727894;-0.663004;0.174920;
0.076922;-0.797406;-0.594321;0.104529;
0.082244;-0.070860;-0.043066;-0.004887;
0.087290995;-0.064446;-0.041844;-0.012217;
0.091877;-0.053145;-0.043371;-0.018631;
0.09691;-0.037568;-0.056505;-0.025656;
0.101899;-0.026573;-0.066279;-0.024129;
0.106897;-0.012217;-0.067806;-0.032070;
0.111875;-0.017104;-0.068722;-0.026573;
0.116896994;-0.012217;-0.080634;-0.029016;
0.121886;-0.007636;-0.082467;-0.041233;
0.126866;-0.001222;-0.087048;-0.038790;
0.131869;0.048700;-0.922252;-0.383511;
0.13689199;0.227066;-0.876241;-0.425021;
0.1419;0.314463;-0.847927;-0.426771;
0.146894;0.438805;-0.824345;-0.357639;
0.15232;0.449271;-0.824460;-0.344123;
0.15691599;0.428633;-0.839720;-0.333382;
0.161885;0.339286;-0.881587;-0.328162;
0.16703199;0.319198;-0.912793;-0.254798;
0.172068;0.200694;-0.947722;-0.248080;
0.176884;0.014355;-0.091630;-0.007636;
0.18185;0.002749;-0.081551;-0.014966;
0.186848;-0.001833;-0.057421;-0.002749;
0.191875;-0.000611;-0.038790;0.004581;
0.196859;0.010996;-0.032070;0.003054;
0.20188;0.003971;-0.035125;0.007330;
0.206872;0.004276;-0.047647;0.009468;
0.21187;-0.011912;-0.054978;0.008552;
0.21688199;-0.012523;-0.065057;0.017410;
0.22186999;-0.019548;-0.066584;0.031460;
0.226871;-0.025045;-0.064141;0.039095;
0.23186898;-0.017104;-0.067195;0.035736;
0.236884;-0.009468;-0.066584;0.032376;
0.24193199;-0.008247;-0.058338;0.037568;
0.247166;0.007025;-0.050396;0.036346;
0.251867;0.021380;-0.043066;0.028405;
0.256845;0.018631;-0.047342;0.026267;
0.261886;0.017104;-0.048564;0.019242;
0.266872;0.017410;-0.038179;0.017410;
0.271851;-0.001527;-0.047037;0.023824;
0.27684197;-0.001527;-0.051924;0.026267;
0.281853;-0.004581;-0.058338;0.021075;
0.28687298;-0.019242;-0.051313;0.012523;
0.291892;-0.010690;-0.042761;0.020464;
0.29688898;-0.013439;-0.040012;0.010996;
0.30189198;-0.011606;-0.057116;-0.000916;
0.30690497;-0.012828;-0.054367;-0.009163;
0.3119;-0.011606;-0.047647;-0.022297;
0.31688097;-0.023213;-0.059865;-0.022907;
0.32187396;-0.031765;-0.063225;-0.028405;
0.32687598;-0.041539;-0.070250;-0.036652;
0.331934;-0.040928;-0.073915;-0.029932;
0.33703297;-0.031154;-0.082467;-0.038485;
0.34190202;-0.019242;-0.083383;-0.043677;
0.346889;-0.002749;-0.076664;-0.054672;
0.351895;0.020464;-0.064446;-0.062003;
0.356886;0.037568;-0.054062;-0.074831;
0.361862;0.464728;-0.317662;-0.826510;
0.36834097;0.587795;-0.133461;-0.797925;
0.371896;0.618647;0.014387;-0.785538;
0.37690097;0.627519;0.076599;-0.774824;
0.381974;0.053145;0.007941;-0.066584;
0.386919;0.052229;0.018021;-0.062614;
0.392002;0.066584;0.034514;-0.063530;
0.396868;0.642950;0.550723;-0.532278;
0.40186897;0.664419;0.539381;-0.517315;
0.406981;0.679309;0.568952;-0.463500;
0.411903;0.650199;0.634558;-0.417825;
0.416881;0.678909;0.598723;-0.424986;
0.42192;0.069944;0.057727;-0.038790;
0.42688298;0.051618;0.039706;-0.027794;
0.43187398;0.043371;0.032376;-0.016799;
0.43688497;0.028711;0.033903;-0.011301;
0.44188797;0.021380;0.028100;-0.013134;
0.44688898;0.009468;0.027489;-0.009163;
0.45191297;-0.000611;0.036346;-0.014966;
0.456897;-0.001222;0.045204;-0.005803;
0.461879;-0.005192;0.044593;-0.001527;
0.46688;-0.003665;0.041539;0.000611;
0.47196397;0.004276;0.055894;-0.003360;
0.47689098;-0.001222;0.051924;-0.007025;
0.48189598;-0.008858;0.042761;-0.013134;
0.48688996;-0.020769;0.033598;-0.009163;
0.491878;-0.027489;0.009163;-0.023824;
0.49687597;-0.031460;-0.004276;-0.033598;
0.501875;-0.034819;-0.029932;-0.035125;
0.506877;-0.056505;-0.064446;-0.045509;
0.511891;-0.543120;-0.658328;-0.521176;
0.51689196;-0.609370;-0.604436;-0.513153;
0.52194595;-0.629998;-0.550343;-0.547929;
0.52689296;-0.600133;-0.539635;-0.590453;
0.531902;-0.589535;-0.485499;-0.645554;
0.53694797;-0.054062;-0.039401;-0.074220;
0.541883;-0.038179;-0.035430;-0.082772;
0.54687697;-0.025045;-0.034819;-0.082467;
0.55189794;-0.251832;-0.319182;-0.913621;
0.556902;-0.173467;-0.317120;-0.932386;
0.561861;-0.216999;-0.431444;-0.875653;
0.56688297;-0.238845;-0.486535;-0.840379;
0.57188;-0.272230;-0.588246;-0.761484;
0.57686293;-0.290367;-0.672146;-0.681108;
0.581865;-0.275124;-0.671732;-0.687810;
0.58687;-0.201955;-0.691695;-0.693378;
0.59186095;-0.188094;-0.678774;-0.709850;
0.596875;-0.095740;-0.666819;-0.739044;
0.601949;-0.048007;-0.634373;-0.771535;
0.606908;0.050970;-0.603421;-0.795792;
0.6118919;0.105972;-0.606649;-0.787875;
0.616893;0.122746;-0.563723;-0.816792;
0.62187696;0.082575;-0.607628;-0.789917;
0.626872;0.116670;-0.624429;-0.772319;
0.63185996;0.182573;-0.588291;-0.787769;
0.636892;0.326508;-0.521299;-0.788442;
0.64185596;0.298164;-0.489438;-0.819481;
0.64688194;0.345057;-0.478068;-0.807704;
0.65185297;0.362062;-0.425280;-0.829487;
0.656944;0.413445;-0.385255;-0.825010;
0.661881;0.392240;-0.377780;-0.838707;
0.666886;0.344227;-0.472615;-0.811260;
0.67184997;0.183233;-0.622188;-0.761123;
0.67688197;0.032903;-0.781448;-0.623102;
0.681899;-0.024004;-0.838286;-0.544702;
0.68691593;-0.147314;-0.887709;-0.436202;
0.69188;-0.205733;-0.897069;-0.391078;
0.696853;-0.241441;-0.922927;-0.299854;
0.70185596;-0.268821;-0.913534;-0.305271;
0.70688;-0.318839;-0.883499;-0.343177;
0.71187;-0.312067;-0.913506;-0.261002;
0.716865;-0.026573;-0.079718;-0.031765;
0.72187996;-0.031460;-0.069333;-0.028405;
0.72686297;-0.019853;-0.057727;-0.032376;
0.73189294;-0.016188;-0.064446;-0.021686;
0.736862;-0.010079;-0.064446;-0.025962;
0.742583;-0.012217;-0.091935;-0.029932;
0.746867;-0.203199;-0.950253;-0.236069;
0.752135;-0.197466;-0.972702;-0.121893;
0.756866;-0.213180;-0.963661;-0.160973;
0.761851;-0.287003;-0.934203;-0.211881;
0.76686;-0.355558;-0.925551;-0.130127;
0.77187496;-0.373058;-0.911328;-0.174094;
0.77686;-0.390375;-0.912610;-0.121450;
0.781859;-0.398372;-0.908503;-0.126181;
0.78685194;-0.398035;-0.909795;-0.117646;
0.791857;-0.402181;-0.896729;-0.184734;
0.796926;-0.470266;-0.859858;-0.198732;
0.80187094;-0.492039;-0.838289;-0.234883;
0.806899;-0.552991;-0.783750;-0.282732;
0.81185204;-0.616487;-0.727853;-0.300289;
0.816848;-0.692647;-0.673876;-0.257162;
0.821942;-0.772797;-0.562196;-0.294484;
0.82688;-0.845391;-0.472513;-0.249088;
0.831885;-0.880191;-0.401118;-0.253710;
0.836865;-0.923470;-0.286685;-0.254978;
0.84185;-0.949051;-0.217491;-0.228036;
0.846878;-0.973353;-0.088373;-0.211598;
0.851873;-0.979453;-0.082017;-0.184242;
0.856862;-0.985675;-0.076363;-0.150377;
0.86186594;-0.987313;-0.046280;-0.151894;
0.86685497;-0.987846;-0.048070;-0.147816;
0.87192994;-0.993140;-0.007449;-0.116694;
0.876901;-0.995806;0.005146;-0.091347;
0.88217795;-0.998346;-0.032511;-0.047411;
0.88687897;-0.996883;-0.054375;-0.057164;
0.8918629;-0.995218;-0.074570;-0.063097;
0.89686096;-0.995181;-0.094280;-0.026937;
0.90187395;-0.984700;-0.174228;0.003111;
0.906863;-0.958384;-0.280876;0.051068;
0.9118599;-0.915125;-0.397632;0.066589;
0.916857;-0.867121;-0.486333;0.107614;
0.92185897;-0.816166;-0.568640;0.102578;
0.927112;-0.709923;-0.684294;0.166588;
0.931881;-0.650895;-0.746360;0.138858;
0.936899;-0.058032;-0.068417;0.021991;
0.94187695;-0.032070;-0.070250;0.020159;
0.946878;-0.015272;-0.072388;0.012217;
0.951886;0.003360;-0.067806;0.006414;
0.95685494;0.025656;-0.059254;-0.005192;
0.9619349;0.041844;-0.062308;-0.010690;
0.96685797;0.065363;-0.046120;-0.013744;
0.971918;0.895331;-0.431933;-0.108698;
0.97685295;0.940443;-0.318873;-0.117844;
0.98185396;0.918190;-0.385047;-0.093088;
0.98685193;0.946563;-0.315521;-0.066816;
0.991852;0.947539;-0.315846;-0.049095;
0.99685496;0.927118;-0.371419;-0.049999;
1.001866;0.918720;-0.388957;-0.068311;
1.0071679;0.894156;-0.447748;0.002681;
1.011866;0.889191;-0.456127;0.035875;
1.0169;0.869734;-0.493358;0.012715;
1.021881;0.863913;-0.502990;0.025597;
1.026862;0.865966;-0.498704;0.037371;
1.031873;0.878979;-0.472597;0.063619;
1.036868;0.898085;-0.430443;0.090340;
1.0418769;0.905868;-0.411875;0.098799;
1.046855;0.917823;-0.385136;0.096284;
1.051858;0.912738;-0.392967;0.111738;
1.0568529;0.921934;-0.382597;0.060475;
1.06185;0.928523;-0.369701;0.034164;
1.066893;0.931139;-0.364464;0.012108;
1.072019;0.939360;-0.342036;0.024785;
1.076862;0.946406;-0.322921;0.006210;
1.081868;0.924166;-0.381972;0.003845;
1.0868889;0.898547;-0.438858;0.004166;
1.09188;0.840233;-0.542188;-0.006341;
1.096862;0.821389;-0.569473;-0.031933;
1.101862;0.741595;-0.669889;-0.035853;
1.106854;0.699822;-0.704182;-0.119907;
1.111847;0.746638;-0.652690;-0.128560;
1.1168519;0.640882;-0.758939;-0.115246;
1.1218499;0.614300;-0.772436;-0.161178;
1.1268489;0.582977;-0.752516;-0.306360;
1.1318549;0.056505;-0.069944;-0.028405;
1.136851;0.051313;-0.065363;-0.036041;
1.141915;0.049175;-0.037263;-0.045509;
1.146879;0.036957;-0.015577;-0.045509;
1.1518649;0.029322;-0.009163;-0.047037;
1.1568611;0.044899;0.010690;-0.042150;
1.16186;0.046120;0.032681;-0.045509;
1.166844;0.046731;0.021075;-0.032681;
1.171846;0.052229;0.017715;-0.031154;
1.1768669;0.050396;0.004581;-0.018631;
1.181876;0.055589;-0.014355;-0.017410;
1.186855;0.048258;-0.023213;-0.017410;
1.191842;0.051007;-0.045204;-0.017410;
1.196878;0.049786;-0.049786;-0.020159;
1.206749;0.049480;-0.072388;-0.014050;
1.2073419;0.049480;-0.072388;-0.014050;
1.211862;0.051007;-0.073915;-0.019853;
1.216861;0.056505;-0.065973;-0.023518;
1.221856;0.060781;-0.061392;-0.020159;
1.226855;0.071777;-0.055894;-0.024129;
1.231857;0.082772;-0.043371;-0.016188;
1.2374101;0.084605;-0.045204;-0.017715;
1.241872;0.944310;-0.286244;-0.162303;
1.246869;0.949791;-0.270970;-0.156436;
1.251854;0.930247;-0.329342;-0.161782;
1.256866;0.084299;-0.041844;-0.011912;
1.261847;0.073915;-0.058948;-0.005498;
1.26684;0.057116;-0.060476;-0.005498;
1.271904;0.054672;-0.046731;-0.012217;
1.276913;0.039095;-0.042455;-0.007025;
1.281868;0.040317;-0.048564;-0.006720;
1.286868;0.045815;-0.052534;-0.008247;
1.2918719;0.047647;-0.056810;-0.022297;
1.2968669;0.056810;-0.052840;-0.025962;
1.3018659;0.056200;-0.053145;-0.029932;
1.306937;0.057727;-0.054978;-0.032987;
1.311885;0.057116;-0.064446;-0.033598;
1.316887;0.058338;-0.054672;-0.042150;
1.321879;0.062003;-0.048258;-0.041233;
1.326887;0.063225;-0.042150;-0.048564;
1.331878;0.060170;-0.034514;-0.059865;
1.336875;0.057421;-0.025045;-0.055589;
1.3418539;0.061697;-0.020159;-0.053145;
1.346861;0.056810;-0.019242;-0.049480;
1.35187;0.049786;-0.011301;-0.049480;
1.356859;0.053145;-0.003665;-0.051313;
1.3618649;0.041844;-0.000611;-0.057421;
1.366909;0.043371;0.002138;-0.070555;
1.3718649;0.034819;-0.000916;-0.070250;
1.3768959;0.030849;0.009468;-0.079412;
1.381851;0.402962;0.352218;-0.844727;
1.386879;0.400171;0.484157;-0.778110;
1.3919259;0.493183;0.559773;-0.665901;
1.396882;0.567189;0.522877;-0.636315;
