unit -> micro-Tesla (uT) and measure the ambient magnetic field in the X, Y and Z axis 
Timestamp;x-axis;y-axis;z-axis
0.008384;3.06;-21.42;-32.46;
0.018511;3.0;-21.3;-32.399998;
0.028594999;3.1799998;-21.18;-32.34;
0.040647;3.12;-21.0;-32.34;
0.051046997;3.1799998;-21.0;-32.46;
0.060974;3.0;-21.0;-32.34;
0.071692;2.9399998;-20.939999;-32.399998;
0.082019;3.0;-20.88;-32.399998;
0.092571996;3.06;-20.76;-32.399998;
0.103203;3.12;-20.76;-32.46;
0.114257;3.1799998;-20.699999;-32.399998;
0.12417299;3.24;-20.58;-32.399998;
0.133322;3.24;-20.64;-32.34;
0.14339;3.3;-20.699999;-32.28;
0.15401399;3.12;-20.699999;-32.28;
0.16433299;3.12;-20.699999;-32.28;
0.173971;3.0;-20.58;-32.16;
0.183667;3.06;-20.64;-32.34;
0.19378701;3.06;-20.699999;-32.28;
0.204267;3.0;-20.699999;-32.28;
0.213864;3.06;-20.699999;-32.1;
0.22396499;3.0;-20.699999;-32.219997;
0.234036;3.0;-20.699999;-32.28;
0.24417399;3.06;-20.64;-32.16;
0.254298;3.06;-20.82;-32.16;
0.265909;3.0;-20.88;-31.92;
0.275192;3.06;-20.939999;-31.98;
0.285323;2.82;-20.939999;-31.92;
0.29537797;2.9399998;-20.939999;-32.1;
0.305468;2.9399998;-20.939999;-32.1;
0.31548798;3.12;-20.939999;-32.1;
0.32556;3.12;-20.88;-32.16;
0.335737;3.24;-21.06;-32.34;
0.346436;3.12;-21.0;-32.28;
0.35625198;3.06;-20.82;-32.16;
0.367952;3.0;-20.88;-32.219997;
0.377901;3.0;-20.88;-32.28;
0.38793796;3.06;-20.939999;-32.16;
0.39760098;3.24;-20.88;-32.1;
0.407807;3.06;-20.88;-32.16;
0.41793197;3.06;-20.699999;-32.04;
0.429022;3.24;-20.82;-32.1;
0.43827698;3.24;-20.88;-32.16;
0.448104;3.36;-20.88;-32.219997;
0.458181;3.36;-20.88;-31.98;
0.46831697;3.36;-20.88;-31.98;
0.47851697;3.4199998;-20.76;-31.92;
0.48865798;3.54;-20.76;-31.859999;
0.49866596;3.4199998;-20.82;-31.859999;
0.50860995;3.6599998;-20.82;-31.859999;
0.518663;3.54;-20.88;-31.859999;
0.52878296;3.6599998;-20.82;-31.92;
0.53884;3.6;-20.76;-31.859999;
0.54965097;3.6599998;-20.88;-31.98;
0.559214;3.54;-20.939999;-31.859999;
0.569262;3.6;-21.0;-31.859999;
0.5794;3.6599998;-21.06;-31.92;
0.589386;3.54;-20.82;-31.98;
0.599741;3.48;-20.88;-31.859999;
0.609603;3.6;-20.82;-31.92;
0.620456;3.48;-20.939999;-32.04;
0.62974596;3.6;-20.88;-32.04;
0.639821;3.4199998;-20.939999;-31.98;
0.649957;3.54;-20.88;-32.04;
0.660259;3.72;-20.82;-31.98;
0.670496;3.6599998;-20.939999;-31.859999;
0.680318;3.84;-21.119999;-31.98;
0.691038;3.9599998;-21.119999;-31.859999;
0.70131093;4.02;-21.42;-31.92;
0.711419;4.02;-21.42;-31.92;
0.721522;4.14;-21.539999;-32.16;
0.731611;4.2599998;-21.539999;-32.1;
0.742136;4.3199997;-21.539999;-32.04;
0.751916;4.3199997;-21.539999;-32.1;
0.76246697;4.5;-21.359999;-32.16;
0.77248496;4.44;-21.48;-32.04;
0.782424;4.44;-21.359999;-32.04;
0.79243094;4.3199997;-21.359999;-32.1;
0.80260694;4.44;-21.359999;-32.28;
0.812497;4.3199997;-21.42;-32.16;
0.82433295;4.2599998;-21.539999;-32.219997;
0.833302;4.2599998;-21.359999;-32.219997;
0.843212;4.14;-21.3;-32.34;
0.853273;3.9599998;-21.42;-32.399998;
0.86340195;3.9599998;-21.18;-32.46;
0.873699;3.8999999;-21.119999;-32.34;
0.8837699;3.84;-20.939999;-32.28;
0.893651;3.84;-20.88;-32.399998;
0.903779;3.84;-20.82;-32.52;
0.913726;3.84;-20.699999;-32.579998;
0.92379797;3.78;-20.82;-32.579998;
