unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
0.0018879999;164.96132;-19.52864;-8.253234;
0.0068559996;164.96155;-19.529703;-8.241781;
0.011907;164.94434;-19.5471;-8.234642;
0.016888;164.92723;-19.571835;-8.238305;
0.021866;164.90916;-19.597576;-8.239952;
0.026871;164.89738;-19.626337;-8.2434225;
0.031886;164.88069;-19.649479;-8.244174;
0.037892;164.86777;-19.67057;-8.245421;
0.041927;164.85933;-19.686882;-8.247489;
0.046910997;164.8492;-19.696943;-8.245678;
0.051882;164.84561;-19.69644;-8.237451;
0.056879997;164.83896;-19.690975;-8.223925;
0.062527;164.83604;-19.682894;-8.2150135;
0.066911995;164.83253;-19.671926;-8.205208;
0.072048;164.83484;-19.655767;-8.185224;
0.076922;164.83537;-19.641764;-8.173393;
0.082244;164.84541;-19.621195;-8.157499;
0.087290995;164.85603;-19.59945;-8.140682;
0.091877;164.87451;-19.574905;-8.130159;
0.09691;164.8961;-19.553913;-8.11783;
0.101899;164.91685;-19.535654;-8.10599;
0.106897;164.94534;-19.51221;-8.097857;
0.111875;164.97054;-19.48786;-8.086055;
0.116896994;165.00134;-19.465105;-8.076825;
0.121886;165.03226;-19.44153;-8.0705805;
0.126866;165.05574;-19.417767;-8.0686035;
0.131869;165.08322;-19.395433;-8.067124;
0.13689199;165.1049;-19.375666;-8.075244;
0.1419;165.12582;-19.356182;-8.080887;
0.146894;165.1478;-19.347967;-8.084656;
0.15232;165.17128;-19.338793;-8.088852;
0.15691599;165.18854;-19.338547;-8.098583;
0.161885;165.20602;-19.336733;-8.106926;
0.16703199;165.21437;-19.343496;-8.107503;
0.172068;165.22316;-19.342827;-8.109285;
0.176884;165.21439;-19.358534;-8.114631;
0.18185;165.21344;-19.367916;-8.120672;
0.186848;165.19641;-19.377443;-8.126416;
0.191875;165.1823;-19.38461;-8.134491;
0.196859;165.16267;-19.396265;-8.149057;
0.20188;165.13861;-19.403324;-8.164297;
0.206872;165.11156;-19.420507;-8.181876;
0.21187;165.08398;-19.430622;-8.199392;
0.21688199;165.05168;-19.444487;-8.210877;
0.22186999;165.01813;-19.45191;-8.221988;
0.226871;164.98924;-19.460571;-8.232108;
0.23186898;164.9603;-19.470957;-8.2399;
0.236884;164.92888;-19.473803;-8.245812;
0.24193199;164.89569;-19.477257;-8.252445;
0.247166;164.87036;-19.480236;-8.25707;
0.251867;164.84479;-19.483297;-8.263896;
0.256845;164.82622;-19.484646;-8.266962;
0.261886;164.81018;-19.489674;-8.2739315;
0.266872;164.79788;-19.49713;-8.278977;
0.271851;164.7873;-19.498533;-8.278355;
0.281853;164.79028;-19.508911;-8.269392;
0.28687298;164.79224;-19.510452;-8.2632265;
0.291892;164.79291;-19.518612;-8.255242;
0.29688898;164.80087;-19.519844;-8.236954;
0.30189198;164.80853;-19.524855;-8.215675;
0.30690497;164.82178;-19.526052;-8.20112;
0.3119;164.84093;-19.527653;-8.185211;
0.31688097;164.86548;-19.519028;-8.162964;
0.32187396;164.89337;-19.51098;-8.14706;
0.32687598;164.92981;-19.49769;-8.132843;
0.331934;164.96353;-19.485718;-8.117986;
0.33703297;164.99994;-19.469507;-8.106521;
0.34190202;165.03307;-19.455082;-8.095389;
0.346889;165.07048;-19.445034;-8.091543;
0.351895;165.1077;-19.440527;-8.089119;
0.356886;165.13664;-19.435013;-8.0949;
0.361862;165.16472;-19.434067;-8.107074;
0.36834097;165.19096;-19.435905;-8.119654;
0.371896;165.21758;-19.436773;-8.137389;
0.37690097;165.23051;-19.445316;-8.162738;
0.381974;165.23883;-19.451529;-8.188383;
0.386919;165.24725;-19.46003;-8.218129;
0.392002;165.23831;-19.482279;-8.254822;
0.396868;165.2252;-19.502132;-8.295936;
0.40186897;165.21115;-19.532272;-8.339418;
0.406981;165.19098;-19.562319;-8.388214;
0.411903;165.1664;-19.595798;-8.454419;
0.416881;165.14066;-19.624939;-8.509008;
0.42192;165.10437;-19.657207;-8.562886;
0.42688298;165.06787;-19.682682;-8.607323;
0.43187398;165.02959;-19.706686;-8.648843;
0.43688497;164.9907;-19.723291;-8.686235;
0.44188797;164.964;-19.740564;-8.718;
0.44688898;164.93353;-19.752447;-8.749497;
0.45191297;164.90738;-19.762691;-8.780382;
0.456897;164.87608;-19.772823;-8.808466;
0.461879;164.85738;-19.778524;-8.833878;
0.46688;164.83604;-19.785742;-8.859513;
0.47196397;164.8203;-19.796864;-8.884744;
0.47689098;164.80598;-19.804441;-8.90339;
0.48189598;164.79918;-19.809832;-8.91986;
0.48688996;164.79097;-19.81258;-8.934077;
0.491878;164.80313;-19.806688;-8.939427;
0.49687597;164.81264;-19.798857;-8.944109;
0.501875;164.84076;-19.78527;-8.936878;
0.506877;164.87604;-19.764969;-8.925427;
0.511891;164.91551;-19.747362;-8.906348;
0.51689196;164.95847;-19.72111;-8.8809395;
0.52194595;165.0134;-19.695826;-8.863188;
0.52689296;165.06992;-19.669353;-8.844883;
0.531902;165.12106;-19.647331;-8.826904;
0.53694797;165.17317;-19.628386;-8.811321;
0.541883;165.22765;-19.607132;-8.803891;
0.54687697;165.27827;-19.589996;-8.79899;
0.55189794;165.32866;-19.573807;-8.7984915;
0.556902;165.37825;-19.564089;-8.796594;
0.561861;165.43405;-19.546423;-8.792287;
0.56688297;165.4956;-19.529928;-8.789188;
0.57188;165.55167;-19.514248;-8.777985;
0.57686293;165.60802;-19.49847;-8.764367;
0.581865;165.66159;-19.486855;-8.75822;
0.58687;165.71811;-19.476238;-8.74404;
0.59186095;165.77078;-19.46676;-8.736912;
0.596875;165.82457;-19.464828;-8.729087;
0.601949;165.87254;-19.45229;-8.722709;
0.606908;165.92297;-19.44723;-8.716728;
0.6118919;165.96863;-19.446615;-8.712346;
0.616893;166.0151;-19.44833;-8.7131605;
0.62187696;166.06154;-19.446209;-8.713587;
0.626872;166.108;-19.448725;-8.718396;
0.63185996;166.14528;-19.456402;-8.721892;
0.636892;166.17496;-19.46908;-8.72671;
0.64185596;166.20576;-19.477625;-8.739872;
0.64688194;166.22882;-19.495617;-8.75523;
0.65185297;166.24599;-19.515982;-8.770524;
0.656944;166.26085;-19.539488;-8.784858;
0.661881;166.28023;-19.554396;-8.805595;
0.666886;166.29634;-19.569485;-8.822142;
0.67184997;166.31406;-19.580128;-8.844487;
0.67688197;166.32979;-19.589739;-8.859563;
0.681899;166.34312;-19.604641;-8.869214;
0.68691593;166.34554;-19.611563;-8.873991;
0.69188;166.35542;-19.623358;-8.879718;
0.696853;166.35587;-19.63263;-8.883694;
0.70185596;166.35953;-19.643642;-8.895978;
0.70688;166.3615;-19.651997;-8.90509;
0.71187;166.35878;-19.670395;-8.917663;
0.716865;166.35997;-19.686361;-8.936558;
0.72187996;166.35638;-19.693829;-8.955301;
0.72686297;166.35379;-19.707058;-8.979765;
