unit -> micro-Tesla (uT) and measure the ambient magnetic field in the X, Y and Z axis 
Timestamp;x-axis;y-axis;z-axis
0.004258;-39.48;32.399998;37.92;
0.014261;-39.48;32.52;38.04;
0.024341999;-39.54;32.7;38.04;
0.034429997;-39.42;32.7;38.28;
0.04451;-39.36;32.76;38.34;
0.054598;-39.3;32.82;38.46;
0.065763995;-39.36;32.82;38.34;
0.075578995;-39.42;32.94;38.399998;
0.085813;-39.6;33.12;38.399998;
0.095868;-39.66;33.18;38.579998;
0.106114;-39.66;33.3;38.46;
0.11624999;-39.719997;33.42;38.579998;
0.126223;-39.84;33.42;38.76;
0.13632;-39.78;33.54;39.059998;
0.14697298;-40.02;33.48;39.239998;
0.156968;-40.02;33.3;39.42;
0.166987;-40.26;33.0;39.719997;
0.17706199;-40.26;32.82;39.84;
0.188254;-40.32;32.64;40.2;
0.19740099;-40.5;32.46;40.14;
0.210694;-40.379997;32.1;40.44;
0.22077298;-40.379997;31.92;40.739998;
0.23087999;-40.5;31.679998;41.04;
0.247183;-40.559998;31.5;41.219997;
0.25585198;-40.32;31.08;41.34;
0.26587;-39.96;30.72;41.399998;
0.276023;-39.899998;30.359999;41.94;
0.28592196;-39.719997;30.119999;42.3;
0.29599598;-39.54;29.699999;42.6;
0.306081;-39.48;29.279999;42.78;
0.316319;-39.239998;28.92;43.079998;
0.32720602;-39.12;28.56;43.5;
0.337245;-38.76;28.38;43.86;
0.346972;-38.46;28.08;44.219997;
0.35698098;-38.1;27.599998;44.399998;
0.367256;-37.739998;27.119999;44.82;
0.377287;-37.86;26.82;45.059998;
0.38731298;-37.739998;26.279999;45.18;
0.397838;-37.38;25.74;45.6;
0.40759802;-37.02;25.14;45.96;
0.41766;-36.899998;24.72;46.44;
0.42790598;-36.899998;24.359999;46.8;
0.43831998;-36.6;23.76;46.98;
0.448468;-36.42;23.279999;47.219997;
0.45812997;-36.18;22.859999;47.64;
0.46817297;-36.12;22.26;48.059998;
0.47826397;-35.88;21.6;48.3;
0.48844996;-35.64;21.119999;48.42;
0.49858898;-35.7;20.58;48.539997;
0.508608;-35.579998;20.039999;48.78;
0.518696;-35.579998;19.619999;49.079998;
0.52880895;-35.46;19.199999;49.32;
