unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
0.004258;92.96875;-38.859375;-2.203125;
0.014261;92.6875;-39.0;-1.59375;
0.024341999;92.390625;-38.84375;-1.171875;
0.034429997;92.125;-38.71875;-1.125;
0.04451;91.875;-38.84375;-1.03125;
0.054598;91.671875;-39.140625;-1.125;
0.065763995;91.53125;-39.625;-1.484375;
0.075578995;91.4375;-40.1875;-1.421875;
0.085813;91.421875;-41.28125;-1.53125;
0.095868;91.453125;-41.609375;-1.59375;
0.106114;91.59375;-43.109375;-1.625;
0.11624999;91.828125;-44.328125;-1.671875;
0.126223;92.15625;-45.375;-1.984375;
0.13632;92.59375;-46.359375;-2.6875;
0.14697298;96.703125;-47.0;-3.578125;
0.156968;97.0625;-47.4375;-4.484375;
0.166987;100.953125;-48.28125;-5.0625;
0.17706199;101.234375;-48.53125;-4.921875;
0.188254;101.484375;-48.375;-4.25;
0.19740099;101.609375;-47.84375;-3.140625;
0.210694;101.75;-48.15625;-2.265625;
0.22077298;101.875;-47.921875;-1.984375;
0.23087999;101.96875;-47.109375;-2.046875;
0.247183;102.046875;-46.859375;-1.84375;
0.25585198;102.109375;-46.0625;-2.1875;
0.26587;102.15625;-45.234375;-2.734375;
0.276023;102.203125;-44.640625;-2.625;
0.28592196;102.234375;-44.40625;-1.671875;
0.29599598;102.28125;-44.484375;-0.84375;
0.306081;102.296875;-43.890625;-0.5625;
0.316319;102.4375;-44.875;-0.5625;
0.32720602;102.640625;-45.0;-0.890625;
0.337245;102.8125;-44.203125;-0.8125;
0.346972;102.9375;-43.390625;-0.484375;
0.35698098;103.03125;-42.53125;-0.34375;
0.367256;103.09375;-41.375;-0.171875;
0.377287;103.078125;-40.03125;-0.34375;
0.38731298;102.953125;-38.109375;-0.5625;
0.397838;102.796875;-36.765625;-0.609375;
0.40759802;102.640625;-35.6875;-0.875;
0.41766;102.515625;-35.234375;-1.0;
0.42790598;102.4375;-34.9375;-1.234375;
