Timestamp;Time;Longitude;Latitude;Altitude;Accuracy;Speed (m/s);Speed (km/h);Speed (mph);Speed (kts);
0.0;12:55:31;145.05870256572962;-37.95045360457152;49.0;5.0;0.0;0.0;0.0;0.0;
1.0;12:55:32;145.05870256572962;-37.95045360457152;49.0;5.0;0.0;0.0;0.0;0.0;
2.0;12:55:33;145.05874237976968;-37.95044715050608;50.70001220703125;5.0;1.6888499;6.0798597;3.7778559;3.282854;
3.0000002;12:55:34;145.05874590016901;-37.95046374667436;50.29998779296875;5.0;1.7514;6.30504;3.9177766;3.4044414;
4.0;12:55:35;145.05874732509255;-37.95047870837152;49.9000244140625;5.0;1.0008;3.60288;2.2387295;1.9453951;
5.0;12:55:36;145.0587540306151;-37.950489395298064;50.0999755859375;5.0;1.1259;4.05324;2.5185707;2.1885695;
6.0000005;12:55:37;145.0587672740221;-37.95050016604364;50.4000244140625;5.0;1.6263;5.8546796;3.6379354;3.161267;
7.0000005;12:55:38;145.058780182153;-37.95050955377519;50.4000244140625;5.0;1.06335;3.8280597;2.37865;2.0669823;
8.0;12:55:39;145.05879283882678;-37.950518103316426;50.5999755859375;5.0;1.56375;5.6295;3.498015;3.03968;
9.0;12:55:40;145.05880809389055;-37.95052241999656;50.79998779296875;5.0;1.43865;5.17914;3.2181737;2.7965055;
10.0;12:55:41;145.05882561206818;-37.950526108033955;50.79998779296875;5.0;1.56375;5.6295;3.498015;3.03968;
11.000001;12:55:42;145.05884463898838;-37.950535831041634;51.0;5.0;1.6263;5.8546796;3.6379354;3.161267;
12.000001;12:55:43;145.05886014550924;-37.9505367949605;51.0999755859375;5.0;1.251;4.5036;2.7984118;2.4317439;
13.000001;12:55:44;145.05887531675398;-37.950542410835624;51.0;5.0;1.5012001;5.4043202;3.3580945;2.9180927;
14.000001;12:55:45;145.05889115855098;-37.9505497450009;51.20001220703125;5.0;1.3761;4.9539595;3.0782528;2.6749182;
15.000001;12:55:46;145.05890398286283;-37.950553977862;51.5;5.0;1.18845;4.27842;2.6584911;2.3101566;
16.0;12:55:47;145.05892007611692;-37.950559300370514;51.9000244140625;5.0;1.6263;5.8546796;3.6379354;3.161267;
17.0;12:55:48;145.05893700756133;-37.95056600589305;52.0999755859375;5.0;1.43865;5.17914;3.2181737;2.7965055;
18.0;12:55:49;145.0589499156922;-37.95057409442961;52.0999755859375;5.0;1.43865;5.17914;3.2181737;2.7965055;
19.0;12:55:50;145.05896265618503;-37.950581051409245;52.29998779296875;5.0;1.5012001;5.4043202;3.3580945;2.9180927;
20.0;12:55:51;145.05897916853428;-37.95058918185532;52.5999755859375;5.0;1.43865;5.17914;3.2181737;2.7965055;
21.000002;12:55:52;145.05899526178837;-37.95059215743095;52.70001220703125;5.0;1.6263;5.8546796;3.6379354;3.161267;
22.000002;12:55:53;145.0590162165463;-37.95060024596751;53.0999755859375;5.0;1.3761;4.9539595;3.0782528;2.6749182;
23.000002;12:55:54;145.0590357463807;-37.95061063952744;53.0999755859375;5.0;1.93905;6.98058;4.3375382;3.769203;
24.000002;12:55:55;145.05905100144446;-37.9506144952029;53.0999755859375;5.0;1.18845;4.27842;2.6584911;2.3101566;
25.000002;12:55:56;145.05906231701374;-37.950614034198225;53.29998779296875;5.0;0.81315;2.9273398;1.8189677;1.5806335;
26.000002;12:55:57;145.0590712018311;-37.95061286073178;53.5999755859375;5.0;0.0;0.0;0.0;0.0;
27.000002;12:55:58;145.0590712018311;-37.95061286073178;53.5999755859375;5.0;0.0;0.0;0.0;0.0;
28.000002;12:55:59;145.0590712018311;-37.95061286073178;53.5999755859375;5.0;0.0;0.0;0.0;0.0;
29.000002;12:56:00;145.0590712018311;-37.95061286073178;53.5999755859375;5.0;0.0;0.0;0.0;0.0;
30.000002;12:56:01;145.0590712018311;-37.95061286073178;53.5999755859375;5.0;0.0;0.0;0.0;0.0;
31.000002;12:56:02;145.0590712018311;-37.95061286073178;53.5999755859375;5.0;0.0;0.0;0.0;0.0;
32.0;12:56:03;145.0590712018311;-37.95061286073178;53.5999755859375;5.0;0.0;0.0;0.0;0.0;
33.0;12:56:04;145.0591544341296;-37.950655315071344;53.9000244140625;5.0;1.93905;6.98058;4.3375382;3.769203;
34.0;12:56:05;145.05916382186115;-37.95066851656884;53.9000244140625;5.0;1.7514;6.30504;3.9177766;3.4044414;
35.0;12:56:06;145.05917362868786;-37.950675850734115;53.70001220703125;5.0;1.0008;3.60288;2.2387295;1.9453951;
36.0;12:56:07;145.05918737500906;-37.95067941304296;53.5999755859375;5.0;1.6888499;6.0798597;3.7778559;3.282854;
37.0;12:56:08;145.0592033006251;-37.9506826819852;53.29998779296875;5.0;1.93905;6.98058;4.3375382;3.769203;
38.0;12:56:09;145.05922643467784;-37.950685950927436;52.9000244140625;5.0;1.6888499;6.0798597;3.7778559;3.282854;
39.0;12:56:10;145.0592509098351;-37.95069165062159;53.0;5.0;1.93905;6.98058;4.3375382;3.769203;
40.0;12:56:11;145.0592659972608;-37.95070040971041;53.0;5.0;1.06335;3.8280597;2.37865;2.0669823;
41.000004;12:56:12;145.05926683545113;-37.95071180909872;53.20001220703125;5.0;1.06335;3.8280597;2.37865;2.0669823;
42.000004;12:56:13;145.05927119404078;-37.95071901753545;53.29998779296875;5.0;0.0;0.0;0.0;0.0;
43.000004;12:56:14;145.05927119404078;-37.95071901753545;53.29998779296875;5.0;0.0;0.0;0.0;0.0;
44.000004;12:56:15;145.05927119404078;-37.95071901753545;53.29998779296875;5.0;0.0;0.0;0.0;0.0;
45.000004;12:56:16;145.05927119404078;-37.95071901753545;53.29998779296875;5.0;0.0;0.0;0.0;0.0;
46.000004;12:56:17;145.05927404388785;-37.95076562091708;53.9000244140625;5.0;1.8765;6.7553997;4.1976175;3.647616;
47.000004;12:56:18;145.05926767364144;-37.9507717397064;53.9000244140625;5.0;1.251;4.5036;2.7984118;2.4317439;
48.000004;12:56:19;145.0592654105276;-37.950787749141455;53.9000244140625;5.0;1.8765;6.7553997;4.1976175;3.647616;
49.000004;12:56:20;145.0592607166618;-37.950804848223925;54.0;5.0;1.6888499;6.0798597;3.7778559;3.282854;
50.000004;12:56:21;145.05926063284278;-37.950820438563824;53.9000244140625;5.0;2.0016;7.20576;4.477459;3.8907902;
51.000004;12:56:22;145.05926130339503;-37.9508396750316;53.9000244140625;5.0;2.06415;7.43094;4.6173797;4.0123777;
52.000004;12:56:23;145.05926239304245;-37.95086000114679;54.0;5.0;2.2518;8.10648;5.0371413;4.377139;
53.000004;12:56:24;145.05926398560405;-37.950871316716075;54.29998779296875;5.0;1.5012001;5.4043202;3.3580945;2.9180927;
54.000004;12:56:25;145.05926457233727;-37.95088615268469;54.5;5.0;2.06415;7.43094;4.6173797;4.0123777;
55.000004;12:56:26;145.05926239304245;-37.95090010855347;54.9000244140625;5.0;1.5012001;5.4043202;3.3580945;2.9180927;
56.000004;12:56:27;145.0592649076134;-37.95092005748302;55.0999755859375;5.0;2.3769;8.55684;5.3169823;4.620313;
57.000004;12:56:28;145.05927278660238;-37.95093887485564;55.29998779296875;5.0;2.1267;7.6561193;4.7573;4.1339645;
58.000004;12:56:29;145.05927278660238;-37.95095521956682;55.5;10.0;1.8139501;6.53022;4.0576973;3.5260286;
59.000004;12:56:30;145.0592728704214;-37.950969049707055;55.5;10.0;1.5012001;5.4043202;3.3580945;2.9180927;
60.000004;12:56:31;145.05927949212492;-37.950980071909726;55.79998779296875;10.0;0.8757;3.15252;1.9588883;1.7022207;
61.000004;12:56:32;145.05929013714194;-37.95097072608769;55.79998779296875;10.0;1.1259;4.05324;2.5185707;2.1885695;
62.000004;12:56:33;145.0593050569296;-37.9509649425745;55.79998779296875;5.0;0.0;0.0;0.0;0.0;
63.000004;12:56:34;145.0593050569296;-37.9509649425745;55.79998779296875;5.0;0.0;0.0;0.0;0.0;
64.0;12:56:35;145.0593050569296;-37.9509649425745;55.79998779296875;5.0;0.0;0.0;0.0;0.0;
65.0;12:56:36;145.0593050569296;-37.9509649425745;55.79998779296875;5.0;0.0;0.0;0.0;0.0;
66.0;12:56:37;145.0593050569296;-37.9509649425745;55.79998779296875;5.0;0.0;0.0;0.0;0.0;
67.0;12:56:38;145.05937957204878;-37.95092177577317;56.70001220703125;5.0;1.8139501;6.53022;4.0576973;3.5260286;
68.0;12:56:39;145.0593918096274;-37.950909873470664;56.5999755859375;5.0;1.06335;3.8280597;2.37865;2.0669823;
69.0;12:56:40;145.05939776077867;-37.95089625287801;57.0;5.0;1.31355;4.72878;2.9383323;2.5533311;
70.0;12:56:41;145.05939373746514;-37.95087835751474;57.29998779296875;5.0;0.0;0.0;0.0;0.0;
71.0;12:56:42;145.05939373746514;-37.95087835751474;57.29998779296875;5.0;0.0;0.0;0.0;0.0;
72.0;12:56:43;145.05939960479736;-37.9508502362296;57.29998779296875;5.0;1.7514;6.30504;3.9177766;3.4044414;
73.0;12:56:44;145.0594063103199;-37.95083376578987;57.4000244140625;5.0;1.8139501;6.53022;4.0576973;3.5260286;
74.0;12:56:45;145.0594139378518;-37.95081603806466;57.5999755859375;5.0;2.2518;8.10648;5.0371413;4.377139;
75.0;12:56:46;145.05942282266915;-37.95079986099154;57.70001220703125;5.0;1.8139501;6.53022;4.0576973;3.5260286;
76.0;12:56:47;145.05943053402007;-37.95078800059855;57.9000244140625;5.0;1.251;4.5036;2.7984118;2.4317439;
77.0;12:56:48;145.05943506024778;-37.95077643357217;57.9000244140625;5.0;1.3761;4.9539595;3.0782528;2.6749182;
78.0;12:56:49;145.05943832919002;-37.95076172333211;58.0999755859375;5.0;1.56375;5.6295;3.498015;3.03968;
79.0;12:56:50;145.05944469943643;-37.95074278023094;58.20001220703125;5.0;1.56375;5.6295;3.498015;3.03968;
80.0;12:56:51;145.05945559591055;-37.95072505250573;58.20001220703125;5.0;1.43865;5.17914;3.2181737;2.7965055;
81.00001;12:56:52;145.05946280434728;-37.950710258446634;58.20001220703125;5.0;1.7514;6.30504;3.9177766;3.4044414;
